2025/04/26 20:11:45 2025-04-26 20:11:45.85315 +0700 WIB m=+35.755935293~::1~POST~/api/v1/Menu~ "Header=>Signature:84951c9d2e81b0abe392bf67a108e19c | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:158 | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000"~{"Username":"admin_admin","ParamKey":"MTc0NTY3MjYwMTQxMjY2Ng==JixKpDHu34thkHFzFfaJGDzmJ0WSwE","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:11:45.863886 +0700 WIB m=+35.766671626~17.125µs~
2025/04/26 20:11:45 2025-04-26 20:11:45.859124 +0700 WIB m=+35.761909460~::1~POST~/api/v1/Category~ "Header=>Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:214 | Signature:1a2a195c2e714d32b71c5add374f372e | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept-Language:en-US,en;q=0.9 | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Fetch-Dest:empty | Connection:keep-alive"~{"UserName":"admin_admin","ParamKey":"MTc0NTY3MjYwMTQxMjY2Ng==JixKpDHu34thkHFzFfaJGDzmJ0WSwE","Method":"SELECT","NamaKategori":"","StatusKategori":"","Page":1,"RowPage":20,"OrderBy":"dbmp.tgl_input","Order":"DESC"}~200~2025-04-26 20:11:45.869456 +0700 WIB m=+35.772241210~14.5µs~Error Execute data
2025/04/26 20:16:42 2025-04-26 20:16:42.324566 +0700 WIB m=+5.016575168~::1~POST~/api/v1/Category~ "Header=>Content-Type:application/json | Sec-Fetch-Mode:cors | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Gpc:1 | Origin:http://localhost:3000 | Content-Length:171 | Signature:48b822f3943585678dcac05fc59db09d | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd"~{"UserName":"admin_admin","ParamKey":"MTc0NTY3MjYwMTQxMjY2Ng==JixKpDHu34thkHFzFfaJGDzmJ0WSwE","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:16:42.352897 +0700 WIB m=+5.044906209~16µs~Error Execute data
2025/04/26 20:16:42 2025-04-26 20:16:42.324517 +0700 WIB m=+5.016526084~::1~POST~/api/v1/MasterProduk~ "Header=>Content-Length:255 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Signature:6dea0713542c8bcf68aee85e2fb179a5 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Ch-Ua-Platform:"macOS" | Connection:keep-alive | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd"~{"UserName":"admin_admin","ParamKey":"MTc0NTY3MjYwMTQxMjY2Ng==JixKpDHu34thkHFzFfaJGDzmJ0WSwE","Method":"SELECT","ProdukId":"","NamaProduk":"","KategoriIdProduk":"","UserInput":"","Status":"","Page":1,"RowPage":20,"OrderBy":"dbmp.tgl_input","Order":"DESC"}~200~2025-04-26 20:16:42.352923 +0700 WIB m=+5.044932293~7.417µs~Error Execute data
2025/04/26 20:16:45 2025-04-26 20:16:45.18579 +0700 WIB m=+7.877798918~::1~POST~/api/v1/Category~ "Header=>Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Signature:48b822f3943585678dcac05fc59db09d | Accept-Language:en-US,en;q=0.9 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Mobile:?0 | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Content-Length:171"~{"UserName":"admin_admin","ParamKey":"MTc0NTY3MjYwMTQxMjY2Ng==JixKpDHu34thkHFzFfaJGDzmJ0WSwE","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:16:45.193063 +0700 WIB m=+7.885072126~7.875µs~Error Execute data
2025/04/26 20:16:45 2025-04-26 20:16:45.185701 +0700 WIB m=+7.877710418~::1~POST~/api/v1/Menu~ "Header=>Content-Length:158 | Signature:84951c9d2e81b0abe392bf67a108e19c | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Origin:http://localhost:3000 | Referer:http://localhost:3000/"~{"Username":"admin_admin","ParamKey":"MTc0NTY3MjYwMTQxMjY2Ng==JixKpDHu34thkHFzFfaJGDzmJ0WSwE","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:16:45.193463 +0700 WIB m=+7.885471959~3.625µs~
2025/04/26 20:16:45 2025-04-26 20:16:45.1857 +0700 WIB m=+7.877708793~::1~POST~/api/v1/MasterProduk~ "Header=>Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Origin:http://localhost:3000 | Sec-Gpc:1 | Content-Length:255 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Signature:6dea0713542c8bcf68aee85e2fb179a5 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Accept-Language:en-US,en;q=0.9 | Referer:http://localhost:3000/"~{"UserName":"admin_admin","ParamKey":"MTc0NTY3MjYwMTQxMjY2Ng==JixKpDHu34thkHFzFfaJGDzmJ0WSwE","Method":"SELECT","ProdukId":"","NamaProduk":"","KategoriIdProduk":"","UserInput":"","Status":"","Page":1,"RowPage":20,"OrderBy":"dbmp.tgl_input","Order":"DESC"}~200~2025-04-26 20:16:45.19375 +0700 WIB m=+7.885758959~13.833µs~Error Execute data
2025/04/26 20:19:42 2025-04-26 20:19:42.210903 +0700 WIB m=+20.210165292~::1~POST~/api/v1/Menu~ "Header=>Accept:*/* | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Length:158 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Connection:keep-alive | Referer:http://localhost:3000/ | Signature:84951c9d2e81b0abe392bf67a108e19c | Content-Type:application/json | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS""~{"Username":"admin_admin","ParamKey":"MTc0NTY3MjYwMTQxMjY2Ng==JixKpDHu34thkHFzFfaJGDzmJ0WSwE","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:19:42.217142 +0700 WIB m=+20.216403792~6.416µs~
2025/04/26 20:19:42 2025-04-26 20:19:42.210928 +0700 WIB m=+20.210190126~::1~POST~/api/v1/Category~ "Header=>Content-Length:214 | Origin:http://localhost:3000 | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Accept-Encoding:gzip, deflate, br, zstd | Signature:1a2a195c2e714d32b71c5add374f372e | Sec-Fetch-Mode:cors | Content-Type:application/json | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/"~{"UserName":"admin_admin","ParamKey":"MTc0NTY3MjYwMTQxMjY2Ng==JixKpDHu34thkHFzFfaJGDzmJ0WSwE","Method":"SELECT","NamaKategori":"","StatusKategori":"","Page":1,"RowPage":20,"OrderBy":"dbmp.tgl_input","Order":"DESC"}~200~2025-04-26 20:19:42.217565 +0700 WIB m=+20.216827042~103.75µs~
2025/04/26 20:19:48 2025-04-26 20:19:48.451613 +0700 WIB m=+26.450875334~::1~POST~/api/v1/Menu~ "Header=>Signature:84951c9d2e81b0abe392bf67a108e19c | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Content-Length:158 | Accept-Language:en-US,en;q=0.9 | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Sec-Fetch-Site:same-site"~{"Username":"admin_admin","ParamKey":"MTc0NTY3MjYwMTQxMjY2Ng==JixKpDHu34thkHFzFfaJGDzmJ0WSwE","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:19:48.461031 +0700 WIB m=+26.460292834~13.458µs~
2025/04/26 20:19:48 2025-04-26 20:19:48.451748 +0700 WIB m=+26.451010542~::1~POST~/api/v1/Category~ "Header=>Connection:keep-alive | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Origin:http://localhost:3000 | Content-Length:214 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Content-Type:application/json | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Platform:"macOS" | Signature:1a2a195c2e714d32b71c5add374f372e | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Dest:empty"~{"UserName":"admin_admin","ParamKey":"MTc0NTY3MjYwMTQxMjY2Ng==JixKpDHu34thkHFzFfaJGDzmJ0WSwE","Method":"SELECT","NamaKategori":"","StatusKategori":"","Page":1,"RowPage":20,"OrderBy":"dbmp.tgl_input","Order":"DESC"}~200~2025-04-26 20:19:48.462566 +0700 WIB m=+26.461827876~13.334µs~
2025/04/26 20:26:11 2025-04-26 20:26:11.070777 +0700 WIB m=+76.169951626~::1~POST~/api/v1/Menu~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Connection:keep-alive | Signature:2167aedf4eb66ef75f6cd53eff7fb9a8 | Content-Length:158 | Accept-Language:en-US,en;q=0.9 | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000"~{"Username":"admin_super","ParamKey":"MTc0NTY3Mzg5NzY1NDk2Mw==UvVHBIaK0FEAl4qUQwMpdM6lzJcqsn","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:26:11.082681 +0700 WIB m=+76.181855084~15.542µs~
2025/04/26 20:26:11 2025-04-26 20:26:11.070764 +0700 WIB m=+76.169938834~::1~POST~/api/v1/Category~ "Header=>Connection:keep-alive | Signature:62470b7b8d96acec79986b7a5cba7ca2 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Content-Type:application/json | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Content-Length:171 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty"~{"UserName":"admin_super","ParamKey":"MTc0NTY3Mzg5NzY1NDk2Mw==UvVHBIaK0FEAl4qUQwMpdM6lzJcqsn","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:26:11.086584 +0700 WIB m=+76.185758042~16.375µs~
