2025/04/28 00:03:24 2025-04-28 00:03:23.995601 +0700 WIB m=+2576.685581001~::1~POST~/api/v1/Menu~ "Header=>Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Content-Type:application/json | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Referer:http://localhost:3000/ | Content-Length:158 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Signature:607c99af879b328103a0e1a34e6f9df9"~{"Username":"admin_super","ParamKey":"MTc0NTc2OTA5NDQwMzczMQ==SseBTYWzGDbSckGWnmp2CqAO1cQ6cY","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-28 00:03:24.011287 +0700 WIB m=+2576.701266834~8.875µs~Session Expired
2025/04/28 00:03:24 2025-04-28 00:03:23.997598 +0700 WIB m=+2576.687577459~::1~POST~/api/v1/Category~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:171 | Content-Type:application/json | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Signature:d77d27ddd2d1046da488e22ad5757323 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS""~{"UserName":"admin_super","ParamKey":"MTc0NTc2OTA5NDQwMzczMQ==SseBTYWzGDbSckGWnmp2CqAO1cQ6cY","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-28 00:03:24.017411 +0700 WIB m=+2576.707390709~8.042µs~Session Expired
2025/04/28 00:03:24 2025-04-28 00:03:24.030414 +0700 WIB m=+2576.720393626~::1~POST~/api/v1/Menu~ "Header=>Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Accept-Language:en-US,en;q=0.9 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Content-Length:158 | Signature:607c99af879b328103a0e1a34e6f9df9 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_super","ParamKey":"MTc0NTc2OTA5NDQwMzczMQ==SseBTYWzGDbSckGWnmp2CqAO1cQ6cY","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-28 00:03:24.038941 +0700 WIB m=+2576.728921126~7.25µs~Session Expired
2025/04/28 00:03:24 2025-04-28 00:03:24.030556 +0700 WIB m=+2576.720535959~::1~POST~/api/v1/Category~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Sec-Gpc:1 | Origin:http://localhost:3000 | Signature:d77d27ddd2d1046da488e22ad5757323 | Accept:*/* | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Content-Type:application/json | Accept-Language:en-US,en;q=0.9 | Connection:keep-alive | Content-Length:171 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133""~{"UserName":"admin_super","ParamKey":"MTc0NTc2OTA5NDQwMzczMQ==SseBTYWzGDbSckGWnmp2CqAO1cQ6cY","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-28 00:03:24.047036 +0700 WIB m=+2576.737015459~9.958µs~Session Expired
2025/04/28 10:53:11 2025-04-28 10:53:11.7153 +0700 WIB m=+203.604274418~127.0.0.1~POST~/api/v1/Menu~ "Header=>Sec-Fetch-Dest:empty | Connection:keep-alive | Content-Length:158 | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Sec-Fetch-Mode:cors | Accept-Language:en-US,en;q=0.9 | Referer:http://localhost:3000/ | Signature:c724ebc361f66f16edca82731a903cfa | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Content-Type:application/json | Accept-Encoding:gzip, deflate, br, zstd | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site"~{"Username":"admin_super","ParamKey":"MTc0NTgxMjMyNzAzMTc2Mw==PE4VikmbdeA3lygzAJQvUV6kMy44rA","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-28 10:53:11.835798 +0700 WIB m=+203.724772334~594.625µs~
2025/04/28 10:53:11 2025-04-28 10:53:11.71518 +0700 WIB m=+203.604155126~127.0.0.1~POST~/api/v1/Category~ "Header=>Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Referer:http://localhost:3000/ | Connection:keep-alive | Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:171 | Content-Type:application/json | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Platform:"macOS" | Signature:484f0b5ef2292ce9a77189d0db42c11a | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Dest:empty"~{"UserName":"admin_super","ParamKey":"MTc0NTgxMjMyNzAzMTc2Mw==PE4VikmbdeA3lygzAJQvUV6kMy44rA","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-28 10:53:11.859757 +0700 WIB m=+203.748732043~727.375µs~
2025/04/28 10:53:21 2025-04-28 10:53:21.653846 +0700 WIB m=+213.542820418~127.0.0.1~POST~/api/v1/Menu~ "Header=>Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Sec-Gpc:1 | Connection:keep-alive | Content-Length:158 | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Signature:c724ebc361f66f16edca82731a903cfa | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site"~{"Username":"admin_super","ParamKey":"MTc0NTgxMjMyNzAzMTc2Mw==PE4VikmbdeA3lygzAJQvUV6kMy44rA","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-28 10:53:21.708888 +0700 WIB m=+213.597862501~9.75µs~
2025/04/28 10:53:21 2025-04-28 10:53:21.661691 +0700 WIB m=+213.550665626~127.0.0.1~POST~/api/v1/Category~ "Header=>Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Content-Length:171 | Connection:keep-alive | Content-Type:application/json | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Referer:http://localhost:3000/ | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Dest:empty | Signature:484f0b5ef2292ce9a77189d0db42c11a"~{"UserName":"admin_super","ParamKey":"MTc0NTgxMjMyNzAzMTc2Mw==PE4VikmbdeA3lygzAJQvUV6kMy44rA","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-28 10:53:21.729972 +0700 WIB m=+213.618946959~9.75µs~
2025/04/28 10:56:15 2025-04-28 10:56:15.256721 +0700 WIB m=+387.145695293~::1~POST~/api/v1/Category~ "Header=>Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept:*/* | Accept-Encoding:gzip, deflate, br, zstd | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Content-Length:171 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Signature:24bd4e58acc2dce398e95f0d3a8fcfcc | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/"~{"UserName":"admin_super","ParamKey":"MTc0NTc3ODA1NDgxNjMzNA==MD3Z5DJaoCQ1a2GGhG5t1pKM56ipYb","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-28 10:56:15.328404 +0700 WIB m=+387.217378709~8.541µs~Session Expired
2025/04/28 11:10:52 2025-04-28 11:10:52.792843 +0700 WIB m=+95.228393084~::1~POST~/api/v1/Menu~ "Header=>Content-Type:application/json | Accept-Language:en-US,en;q=0.9 | Referer:http://localhost:3000/ | Content-Length:158 | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept:*/* | Sec-Fetch-Mode:cors | Signature:262cb53b0195e32ff6b61d3a403c62ab | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site"~{"Username":"admin_admin","ParamKey":"MTc0NTgxMjg2MDcyMDM0OA==C0LbyKsu2aYte52tGZqAhUxiPieyZk","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-28 11:10:52.804284 +0700 WIB m=+95.239834209~13.833µs~
2025/04/28 11:10:52 2025-04-28 11:10:52.792843 +0700 WIB m=+95.228393292~::1~POST~/api/v1/Category~ "Header=>Signature:38b6293dea14c6f5f08f535a7ce4ea81 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9 | Referer:http://localhost:3000/ | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Origin:http://localhost:3000 | Content-Length:214 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty"~{"UserName":"admin_admin","ParamKey":"MTc0NTgxMjg2MDcyMDM0OA==C0LbyKsu2aYte52tGZqAhUxiPieyZk","Method":"SELECT","NamaKategori":"","StatusKategori":"","Page":1,"RowPage":20,"OrderBy":"dbmp.tgl_input","Order":"DESC"}~200~2025-04-28 11:10:52.808066 +0700 WIB m=+95.243616084~15.417µs~
