2025/05/04 20:20:52 2025-05-04 20:20:52.786989 +0700 WIB m=+90105.121689668~::1~POST~/api/v1/Menu~ "Header=>Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Connection:keep-alive | Content-Length:158 | Signature:dad21993361310805db3a7afa8aba872 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors | Sec-Gpc:1 | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0"~{"Username":"admin_admin","ParamKey":"MTc0NjM2NDg1MDcwMzIxMQ==QZ8sTAfsLuYF55brxfN16P2waBmRbV","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-05-04 20:20:52.805627 +0700 WIB m=+90105.140327501~15.125µs~
2025/05/04 20:20:52 2025-05-04 20:20:52.791589 +0700 WIB m=+90105.126289876~::1~POST~/api/v1/Category~ "Header=>Content-Length:171 | Signature:0039efe63a64b537427d40427eafb28d | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Referer:http://localhost:3000/ | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Mobile:?0 | Accept-Encoding:gzip, deflate, br, zstd"~{"UserName":"admin_admin","ParamKey":"MTc0NjM2NDg1MDcwMzIxMQ==QZ8sTAfsLuYF55brxfN16P2waBmRbV","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-05-04 20:20:52.809696 +0700 WIB m=+90105.144396376~15.208µs~
2025/05/04 20:20:56 2025-05-04 20:20:56.901613 +0700 WIB m=+90109.236314001~::1~POST~/api/v1/Menu~ "Header=>Accept:*/* | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Signature:dad21993361310805db3a7afa8aba872 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Gpc:1 | Referer:http://localhost:3000/ | Connection:keep-alive | Content-Length:158 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Sec-Fetch-Dest:empty"~{"Username":"admin_admin","ParamKey":"MTc0NjM2NDg1MDcwMzIxMQ==QZ8sTAfsLuYF55brxfN16P2waBmRbV","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-05-04 20:20:56.913352 +0700 WIB m=+90109.248052626~25.292µs~
2025/05/04 20:20:56 2025-05-04 20:20:56.902076 +0700 WIB m=+90109.236776543~::1~POST~/api/v1/Category~ "Header=>Connection:keep-alive | Content-Length:171 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Signature:0039efe63a64b537427d40427eafb28d"~{"UserName":"admin_admin","ParamKey":"MTc0NjM2NDg1MDcwMzIxMQ==QZ8sTAfsLuYF55brxfN16P2waBmRbV","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-05-04 20:20:56.916624 +0700 WIB m=+90109.251324543~18.084µs~
2025/05/04 20:21:11 2025-05-04 20:21:11.288336 +0700 WIB m=+90123.623037209~::1~POST~/api/v1/Menu~ "Header=>Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:158 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9 | Signature:dad21993361310805db3a7afa8aba872 | Content-Type:application/json | Sec-Fetch-Dest:empty | Accept:*/* | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133""~{"Username":"admin_admin","ParamKey":"MTc0NjM2NDg1MDcwMzIxMQ==QZ8sTAfsLuYF55brxfN16P2waBmRbV","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-05-04 20:21:11.30035 +0700 WIB m=+90123.635051043~14.834µs~
2025/05/04 20:21:11 2025-05-04 20:21:11.288688 +0700 WIB m=+90123.623388626~::1~POST~/api/v1/Category~ "Header=>Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Content-Length:171 | Signature:0039efe63a64b537427d40427eafb28d | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS""~{"UserName":"admin_admin","ParamKey":"MTc0NjM2NDg1MDcwMzIxMQ==QZ8sTAfsLuYF55brxfN16P2waBmRbV","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-05-04 20:21:11.303092 +0700 WIB m=+90123.637792334~18.041µs~
2025/05/04 20:22:11 2025-05-04 20:22:11.647778 +0700 WIB m=+90183.982478376~::1~POST~/api/v1/Category~ "Header=>Content-Length:171 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Signature:0039efe63a64b537427d40427eafb28d | Content-Type:application/json | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Connection:keep-alive | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd"~{"UserName":"admin_admin","ParamKey":"MTc0NjM2NDg1MDcwMzIxMQ==QZ8sTAfsLuYF55brxfN16P2waBmRbV","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-05-04 20:22:11.677106 +0700 WIB m=+90184.011806709~11.416µs~
2025/05/04 20:22:38 2025-05-04 20:22:38.132843 +0700 WIB m=+90210.467544043~::1~POST~/api/v1/Category~ "Header=>Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Signature:0039efe63a64b537427d40427eafb28d | Sec-Ch-Ua-Platform:"macOS" | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Content-Length:171 | Content-Type:application/json | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Dest:empty"~{"UserName":"admin_admin","ParamKey":"MTc0NjM2NDg1MDcwMzIxMQ==QZ8sTAfsLuYF55brxfN16P2waBmRbV","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-05-04 20:22:38.152603 +0700 WIB m=+90210.487304001~22.333µs~
2025/05/04 20:24:10 2025-05-04 20:24:10.773424 +0700 WIB m=+90303.108124543~::1~POST~/api/v1/Menu~ "Header=>Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Signature:dad21993361310805db3a7afa8aba872 | Content-Type:application/json | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Content-Length:158 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Origin:http://localhost:3000"~{"Username":"admin_admin","ParamKey":"MTc0NjM2NDg1MDcwMzIxMQ==QZ8sTAfsLuYF55brxfN16P2waBmRbV","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-05-04 20:24:10.803735 +0700 WIB m=+90303.138435543~18.209µs~
2025/05/04 20:24:10 2025-05-04 20:24:10.778946 +0700 WIB m=+90303.113646543~::1~POST~/api/v1/Category~ "Header=>Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Content-Length:171 | Accept-Encoding:gzip, deflate, br, zstd | Accept:*/* | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Signature:0039efe63a64b537427d40427eafb28d | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Connection:keep-alive | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133""~{"UserName":"admin_admin","ParamKey":"MTc0NjM2NDg1MDcwMzIxMQ==QZ8sTAfsLuYF55brxfN16P2waBmRbV","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-05-04 20:24:10.803799 +0700 WIB m=+90303.138499418~7.875µs~
2025/05/04 20:27:45 2025-05-04 20:27:45.751426 +0700 WIB m=+90518.086126418~::1~POST~/api/v1/Category~ "Header=>Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept-Language:en-US,en;q=0.9 | Content-Length:171 | Accept:*/* | Sec-Fetch-Site:same-site | Connection:keep-alive | Signature:0039efe63a64b537427d40427eafb28d | Content-Type:application/json | Sec-Gpc:1"~{"UserName":"admin_admin","ParamKey":"MTc0NjM2NDg1MDcwMzIxMQ==QZ8sTAfsLuYF55brxfN16P2waBmRbV","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-05-04 20:27:45.800419 +0700 WIB m=+90518.135119501~15.583µs~
