2025/04/04 16:14:44 2025-04-04 16:14:44.574204 +0700 WIB m=+151.633804501~::1~POST~/api/v1/Menu~ "Header=>Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Signature:71ee8d5a95d13c93631cac6e6747c0dc | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept-Language:en-US,en;q=0.9 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:159 | Content-Type:application/json | Sec-Gpc:1 | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Fetch-Dest:empty"~{"Username":"admin_gudang","ParamKey":"MTc0Mzc1ODA2OTI3Mjc5Mg==wTTOn8tHInlEcIKRXVysziH92K4M3g","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-04 16:14:44.586697 +0700 WIB m=+151.646297584~13.208µs~
2025/04/04 16:14:44 2025-04-04 16:14:44.574413 +0700 WIB m=+151.634013501~::1~POST~/api/v1/Category~ "Header=>Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Signature:801eff272005aa33153aecc5d9c4bc90 | Accept:*/* | Sec-Fetch-Site:same-site | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Mode:cors | Connection:keep-alive | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Sec-Gpc:1 | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:172 | Sec-Ch-Ua-Platform:"macOS""~{"UserName":"admin_gudang","ParamKey":"MTc0Mzc1ODA2OTI3Mjc5Mg==wTTOn8tHInlEcIKRXVysziH92K4M3g","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-04 16:14:44.590403 +0700 WIB m=+151.650004001~35.625µs~
2025/04/04 16:14:44 2025-04-04 16:14:44.574412 +0700 WIB m=+151.634013084~::1~POST~/api/v1/MasterProduk~ "Header=>Accept:*/* | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Content-Type:application/json | Origin:http://localhost:3000 | Signature:8a830c878bd7f5e9a67bd104fdce3687 | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Content-Length:256 | Sec-Ch-Ua-Platform:"macOS" | Accept-Language:en-US,en;q=0.9 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"~{"UserName":"admin_gudang","ParamKey":"MTc0Mzc1ODA2OTI3Mjc5Mg==wTTOn8tHInlEcIKRXVysziH92K4M3g","Method":"SELECT","ProdukId":"","NamaProduk":"","KategoriIdProduk":"","UserInput":"","Status":"","Page":1,"RowPage":20,"OrderBy":"dbmp.tgl_input","Order":"DESC"}~200~2025-04-04 16:14:44.626537 +0700 WIB m=+151.686137709~12.75µs~
2025/04/04 16:14:57 2025-04-04 16:14:57.083114 +0700 WIB m=+164.142714834~::1~POST~/api/v1/Menu~ "Header=>Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Signature:71ee8d5a95d13c93631cac6e6747c0dc | Sec-Fetch-Site:same-site | Sec-Gpc:1 | Content-Length:159 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Origin:http://localhost:3000 | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"~{"Username":"admin_gudang","ParamKey":"MTc0Mzc1ODA2OTI3Mjc5Mg==wTTOn8tHInlEcIKRXVysziH92K4M3g","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-04 16:14:57.09258 +0700 WIB m=+164.152180418~18.459µs~
2025/04/04 16:14:57 2025-04-04 16:14:57.083491 +0700 WIB m=+164.143092001~::1~POST~/api/v1/Category~ "Header=>Signature:801eff272005aa33153aecc5d9c4bc90 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Content-Length:172 | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Origin:http://localhost:3000"~{"UserName":"admin_gudang","ParamKey":"MTc0Mzc1ODA2OTI3Mjc5Mg==wTTOn8tHInlEcIKRXVysziH92K4M3g","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-04 16:14:57.094677 +0700 WIB m=+164.154278084~15.75µs~
2025/04/04 16:14:57 2025-04-04 16:14:57.083978 +0700 WIB m=+164.143578251~::1~POST~/api/v1/MasterProduk~ "Header=>Content-Length:256 | Sec-Ch-Ua-Platform:"macOS" | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Origin:http://localhost:3000 | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Signature:8a830c878bd7f5e9a67bd104fdce3687 | Sec-Ch-Ua-Mobile:?0"~{"UserName":"admin_gudang","ParamKey":"MTc0Mzc1ODA2OTI3Mjc5Mg==wTTOn8tHInlEcIKRXVysziH92K4M3g","Method":"SELECT","ProdukId":"","NamaProduk":"","KategoriIdProduk":"","UserInput":"","Status":"","Page":1,"RowPage":20,"OrderBy":"dbmp.tgl_input","Order":"DESC"}~200~2025-04-04 16:14:57.12093 +0700 WIB m=+164.180530293~33.167µs~
2025/04/04 16:21:06 2025-04-04 16:21:06.776241 +0700 WIB m=+533.835841751~::1~POST~/api/v1/Menu~ "Header=>Signature:71ee8d5a95d13c93631cac6e6747c0dc | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:159 | Sec-Ch-Ua-Platform:"macOS" | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Content-Type:application/json | Accept-Language:en-US,en;q=0.9 | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Origin:http://localhost:3000"~{"Username":"admin_gudang","ParamKey":"MTc0Mzc1ODA2OTI3Mjc5Mg==wTTOn8tHInlEcIKRXVysziH92K4M3g","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-04 16:21:06.78411 +0700 WIB m=+533.843710251~15.333µs~
2025/04/04 16:21:06 2025-04-04 16:21:06.777064 +0700 WIB m=+533.836664918~::1~POST~/api/v1/Category~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors | Content-Length:172 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Referer:http://localhost:3000/ | Signature:801eff272005aa33153aecc5d9c4bc90 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd"~{"UserName":"admin_gudang","ParamKey":"MTc0Mzc1ODA2OTI3Mjc5Mg==wTTOn8tHInlEcIKRXVysziH92K4M3g","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-04 16:21:06.789487 +0700 WIB m=+533.849087334~13.083µs~
2025/04/04 16:21:06 2025-04-04 16:21:06.777153 +0700 WIB m=+533.836753626~::1~POST~/api/v1/MasterProduk~ "Header=>Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:256 | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Fetch-Mode:cors | Signature:8a830c878bd7f5e9a67bd104fdce3687 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Connection:keep-alive | Referer:http://localhost:3000/"~{"UserName":"admin_gudang","ParamKey":"MTc0Mzc1ODA2OTI3Mjc5Mg==wTTOn8tHInlEcIKRXVysziH92K4M3g","Method":"SELECT","ProdukId":"","NamaProduk":"","KategoriIdProduk":"","UserInput":"","Status":"","Page":1,"RowPage":20,"OrderBy":"dbmp.tgl_input","Order":"DESC"}~200~2025-04-04 16:21:06.815214 +0700 WIB m=+533.874815126~16.083µs~
2025/04/04 16:22:46 2025-04-04 16:22:46.07472 +0700 WIB m=+633.134321293~::1~POST~/api/v1/Menu~ "Header=>Sec-Fetch-Mode:cors | Connection:keep-alive | Content-Length:159 | Signature:71ee8d5a95d13c93631cac6e6747c0dc | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9 | Sec-Gpc:1 | Content-Type:application/json | Sec-Fetch-Dest:empty"~{"Username":"admin_gudang","ParamKey":"MTc0Mzc1ODA2OTI3Mjc5Mg==wTTOn8tHInlEcIKRXVysziH92K4M3g","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-04 16:22:46.086422 +0700 WIB m=+633.146022501~16.917µs~
2025/04/04 16:22:46 2025-04-04 16:22:46.074918 +0700 WIB m=+633.134518293~::1~POST~/api/v1/Category~ "Header=>Sec-Gpc:1 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Content-Length:172 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Accept:*/* | Signature:801eff272005aa33153aecc5d9c4bc90 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty"~{"UserName":"admin_gudang","ParamKey":"MTc0Mzc1ODA2OTI3Mjc5Mg==wTTOn8tHInlEcIKRXVysziH92K4M3g","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-04 16:22:46.09761 +0700 WIB m=+633.157210668~84.292µs~
