2025/04/04 16:14:29 2025-04-04 16:14:29.500626 +0700 WIB m=+136.560226251~::1~POST~/api/v1/Menu~ "Header=>Accept-Language:en-US,en;q=0.9 | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Gpc:1 | Signature:71ee8d5a95d13c93631cac6e6747c0dc | Content-Type:application/json | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:159 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/"~{"Username":"admin_gudang","ParamKey":"MTc0Mzc1ODA2OTI3Mjc5Mg==wTTOn8tHInlEcIKRXVysziH92K4M3g","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-04 16:14:29.540858 +0700 WIB m=+136.600458376~13.625µs~
2025/04/04 16:14:37 2025-04-04 16:14:37.271222 +0700 WIB m=+144.330822876~::1~POST~/api/v1/Menu~ "Header=>Content-Length:159 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Mode:cors | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Signature:71ee8d5a95d13c93631cac6e6747c0dc | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Sec-Ch-Ua-Platform:"macOS" | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9"~{"Username":"admin_gudang","ParamKey":"MTc0Mzc1ODA2OTI3Mjc5Mg==wTTOn8tHInlEcIKRXVysziH92K4M3g","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-04 16:14:37.279793 +0700 WIB m=+144.339394209~17.708µs~
2025/04/04 16:14:38 2025-04-04 16:14:38.417703 +0700 WIB m=+145.477303376~::1~POST~/api/v1/Menu~ "Header=>Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:159 | Content-Type:application/json | Sec-Fetch-Site:same-site | Signature:71ee8d5a95d13c93631cac6e6747c0dc | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Dest:empty"~{"Username":"admin_gudang","ParamKey":"MTc0Mzc1ODA2OTI3Mjc5Mg==wTTOn8tHInlEcIKRXVysziH92K4M3g","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-04 16:14:38.427096 +0700 WIB m=+145.486696709~14.583µs~
2025/04/04 16:14:43 2025-04-04 16:14:43.455588 +0700 WIB m=+150.515188376~::1~POST~/api/v1/Menu~ "Header=>Content-Length:159 | Sec-Ch-Ua-Platform:"macOS" | Signature:71ee8d5a95d13c93631cac6e6747c0dc | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Connection:keep-alive | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Fetch-Site:same-site"~{"Username":"admin_gudang","ParamKey":"MTc0Mzc1ODA2OTI3Mjc5Mg==wTTOn8tHInlEcIKRXVysziH92K4M3g","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-04 16:14:43.463584 +0700 WIB m=+150.523184334~21µs~
2025/04/04 16:21:07 2025-04-04 16:21:07.413015 +0700 WIB m=+534.472616043~::1~POST~/api/v1/Menu~ "Header=>Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Content-Length:159 | Signature:71ee8d5a95d13c93631cac6e6747c0dc | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Content-Type:application/json | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"~{"Username":"admin_gudang","ParamKey":"MTc0Mzc1ODA2OTI3Mjc5Mg==wTTOn8tHInlEcIKRXVysziH92K4M3g","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-04 16:21:07.42185 +0700 WIB m=+534.481450959~12.541µs~
2025/04/04 16:21:08 2025-04-04 16:21:08.897379 +0700 WIB m=+535.956979959~::1~POST~/api/v1/Menu~ "Header=>Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Content-Length:159 | Sec-Ch-Ua-Platform:"macOS" | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Signature:71ee8d5a95d13c93631cac6e6747c0dc"~{"Username":"admin_gudang","ParamKey":"MTc0Mzc1ODA2OTI3Mjc5Mg==wTTOn8tHInlEcIKRXVysziH92K4M3g","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-04 16:21:08.903407 +0700 WIB m=+535.963007376~12.875µs~
2025/04/04 16:21:09 2025-04-04 16:21:09.434127 +0700 WIB m=+536.493727876~::1~POST~/api/v1/Menu~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json | Accept:*/* | Signature:71ee8d5a95d13c93631cac6e6747c0dc | Sec-Fetch-Site:same-site | Content-Length:159"~{"Username":"admin_gudang","ParamKey":"MTc0Mzc1ODA2OTI3Mjc5Mg==wTTOn8tHInlEcIKRXVysziH92K4M3g","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-04 16:21:09.442532 +0700 WIB m=+536.502132501~13.333µs~
2025/04/04 16:21:09 2025-04-04 16:21:09.983824 +0700 WIB m=+537.043425043~::1~POST~/api/v1/Menu~ "Header=>Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Ch-Ua-Platform:"macOS" | Signature:71ee8d5a95d13c93631cac6e6747c0dc | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Accept:*/* | Connection:keep-alive | Content-Length:159 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty"~{"Username":"admin_gudang","ParamKey":"MTc0Mzc1ODA2OTI3Mjc5Mg==wTTOn8tHInlEcIKRXVysziH92K4M3g","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-04 16:21:09.990822 +0700 WIB m=+537.050422793~16.75µs~
2025/04/04 16:21:11 2025-04-04 16:21:11.158008 +0700 WIB m=+538.217609043~::1~POST~/api/v1/Menu~ "Header=>Signature:71ee8d5a95d13c93631cac6e6747c0dc | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Connection:keep-alive | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:159 | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Sec-Fetch-Mode:cors | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Referer:http://localhost:3000/"~{"Username":"admin_gudang","ParamKey":"MTc0Mzc1ODA2OTI3Mjc5Mg==wTTOn8tHInlEcIKRXVysziH92K4M3g","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-04 16:21:11.165123 +0700 WIB m=+538.224723584~12.791µs~
2025/04/04 16:22:40 2025-04-04 16:22:40.35917 +0700 WIB m=+627.418770834~::1~POST~/api/v1/Menu~ "Header=>Content-Length:159 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Signature:71ee8d5a95d13c93631cac6e6747c0dc | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Content-Type:application/json | Accept:*/* | Sec-Fetch-Mode:cors"~{"Username":"admin_gudang","ParamKey":"MTc0Mzc1ODA2OTI3Mjc5Mg==wTTOn8tHInlEcIKRXVysziH92K4M3g","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-04 16:22:40.390795 +0700 WIB m=+627.450395959~6.916µs~
2025/04/04 16:22:44 2025-04-04 16:22:44.021608 +0700 WIB m=+631.081208334~::1~POST~/api/v1/Menu~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Connection:keep-alive | Signature:71ee8d5a95d13c93631cac6e6747c0dc | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Length:159 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_gudang","ParamKey":"MTc0Mzc1ODA2OTI3Mjc5Mg==wTTOn8tHInlEcIKRXVysziH92K4M3g","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-04 16:22:44.028727 +0700 WIB m=+631.088328168~15.834µs~
