2025/04/22 12:19:20 2025-04-22 12:19:20.500725 +0700 WIB m=+230.386558418~::1~POST~/api/v1/Menu~ "Header=>Content-Length:159 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Signature:8223276df17bbf399ed676547024d917 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_gudang","ParamKey":"MTc0NTI5OTE2MDM4OTY5MQ==0bjXMgjID3KPctSOK0biasY4P6SRiR","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-22 12:19:20.515913 +0700 WIB m=+230.401746918~12.875µs~
2025/04/22 12:21:51 2025-04-22 12:21:51.457024 +0700 WIB m=+381.342857876~::1~POST~/api/v1/Category~ "Header=>Content-Type:application/json | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Content-Length:172 | Signature:8d48ec9f0dc86048280763b04e70e8e1 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty"~{"UserName":"admin_gudang","ParamKey":"MTc0NTI5OTE2MDM4OTY5MQ==0bjXMgjID3KPctSOK0biasY4P6SRiR","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-22 12:21:51.481148 +0700 WIB m=+381.366981584~9.166µs~
2025/04/22 12:21:51 2025-04-22 12:21:51.456146 +0700 WIB m=+381.341979918~::1~POST~/api/v1/Menu~ "Header=>Connection:keep-alive | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Content-Length:159 | Signature:8223276df17bbf399ed676547024d917 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Referer:http://localhost:3000/"~{"Username":"admin_gudang","ParamKey":"MTc0NTI5OTE2MDM4OTY5MQ==0bjXMgjID3KPctSOK0biasY4P6SRiR","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-22 12:21:51.481176 +0700 WIB m=+381.367009626~2.75µs~
2025/04/22 12:25:07 2025-04-22 12:25:07.250173 +0700 WIB m=+577.136006709~::1~POST~/api/v1/Menu~ "Header=>Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Signature:8223276df17bbf399ed676547024d917 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Accept:*/* | Sec-Fetch-Mode:cors | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Dest:empty | Content-Length:159 | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9"~{"Username":"admin_gudang","ParamKey":"MTc0NTI5OTE2MDM4OTY5MQ==0bjXMgjID3KPctSOK0biasY4P6SRiR","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-22 12:25:07.318318 +0700 WIB m=+577.204152084~11.416µs~
2025/04/22 12:25:36 2025-04-22 12:25:36.77848 +0700 WIB m=+606.664314043~::1~POST~/api/v1/Menu~ "Header=>Sec-Fetch-Site:same-site | Content-Length:159 | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Connection:keep-alive | Signature:8223276df17bbf399ed676547024d917"~{"Username":"admin_gudang","ParamKey":"MTc0NTI5OTE2MDM4OTY5MQ==0bjXMgjID3KPctSOK0biasY4P6SRiR","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-22 12:25:36.800928 +0700 WIB m=+606.686761501~9.5µs~
2025/04/22 12:27:03 2025-04-22 12:27:03.840135 +0700 WIB m=+693.725969126~::1~POST~/api/v1/Menu~ "Header=>Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Content-Length:159 | Sec-Gpc:1 | Accept-Encoding:gzip, deflate, br, zstd | Accept:*/* | Signature:8223276df17bbf399ed676547024d917 | Sec-Fetch-Site:same-site | Connection:keep-alive | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/"~{"Username":"admin_gudang","ParamKey":"MTc0NTI5OTE2MDM4OTY5MQ==0bjXMgjID3KPctSOK0biasY4P6SRiR","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-22 12:27:03.858261 +0700 WIB m=+693.744095043~49.084µs~
2025/04/22 12:27:15 2025-04-22 12:27:15.192198 +0700 WIB m=+705.078032126~::1~POST~/api/v1/Menu~ "Header=>Content-Length:159 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Fetch-Site:same-site | Signature:8223276df17bbf399ed676547024d917 | Content-Type:application/json | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Referer:http://localhost:3000/"~{"Username":"admin_gudang","ParamKey":"MTc0NTI5OTE2MDM4OTY5MQ==0bjXMgjID3KPctSOK0biasY4P6SRiR","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-22 12:27:15.200724 +0700 WIB m=+705.086557251~6.417µs~
2025/04/22 12:27:19 2025-04-22 12:27:19.74209 +0700 WIB m=+709.627923459~::1~POST~/api/v1/Menu~ "Header=>Content-Type:application/json | Accept-Language:en-US,en;q=0.9 | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:97 | Referer:http://localhost:3000/ | Sec-Gpc:1 | Connection:keep-alive | Accept:*/* | Sec-Fetch-Dest:empty | Signature:daec7639ca599611c07327d8164d108e | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Platform:"macOS""~{"Username":null,"ParamKey":null,"Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-22 12:27:19.750905 +0700 WIB m=+709.636738251~17.208µs~Username can't null valueParamKey can't null value
2025/04/22 12:27:21 2025-04-22 12:27:21.39167 +0700 WIB m=+711.277503334~::1~POST~/api/v1/Menu~ "Header=>Content-Type:application/json | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Signature:daec7639ca599611c07327d8164d108e | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Content-Length:97 | Accept:*/* | Sec-Gpc:1 | Referer:http://localhost:3000/"~{"Username":null,"ParamKey":null,"Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-22 12:27:21.395349 +0700 WIB m=+711.281182793~14.959µs~Username can't null valueParamKey can't null value
2025/04/22 12:27:24 2025-04-22 12:27:24.292044 +0700 WIB m=+714.177877459~::1~POST~/api/v1/Menu~ "Header=>Signature:c2f96fc916a43bb2c8123c0f9915a624 | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Accept-Encoding:gzip, deflate, br, zstd | Referer:http://localhost:3000/ | Connection:keep-alive | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Content-Length:159 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Origin:http://localhost:3000"~{"Username":"admin_gudang","ParamKey":"MTc0NTI5OTY0NDE2Mzg5Mw==mMDr9DZFqKqwEJ2P6iTdZdHC9mww3f","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-22 12:27:24.299311 +0700 WIB m=+714.185144959~12.5µs~
2025/04/22 12:27:30 2025-04-22 12:27:30.836217 +0700 WIB m=+720.722050751~::1~POST~/api/v1/Menu~ "Header=>Content-Type:application/json | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Dest:empty | Signature:c2f96fc916a43bb2c8123c0f9915a624 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Content-Length:159 | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0"~{"Username":"admin_gudang","ParamKey":"MTc0NTI5OTY0NDE2Mzg5Mw==mMDr9DZFqKqwEJ2P6iTdZdHC9mww3f","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-22 12:27:30.846232 +0700 WIB m=+720.732065626~17µs~
