2025/04/26 20:03:21 2025-04-26 20:03:21.617363 +0700 WIB m=+6.254365751~::1~POST~/api/v1/Menu~ "Header=>Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Origin:http://localhost:3000 | Connection:keep-alive | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Content-Length:158 | Signature:84951c9d2e81b0abe392bf67a108e19c | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Gpc:1 | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_admin","ParamKey":"MTc0NTY3MjYwMTQxMjY2Ng==JixKpDHu34thkHFzFfaJGDzmJ0WSwE","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:03:21.641353 +0700 WIB m=+6.278355751~13.417µs~
2025/04/26 20:09:17 2025-04-26 20:09:17.781113 +0700 WIB m=+343.687623126~::1~POST~/api/v1/Menu~ "Header=>Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Accept:*/* | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | Signature:84951c9d2e81b0abe392bf67a108e19c | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Content-Length:158 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive"~{"Username":"admin_admin","ParamKey":"MTc0NTY3MjYwMTQxMjY2Ng==JixKpDHu34thkHFzFfaJGDzmJ0WSwE","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:09:17.797762 +0700 WIB m=+343.704272043~13µs~Error Execute data
2025/04/26 20:11:12 2025-04-26 20:11:12.677346 +0700 WIB m=+2.580131543~::1~POST~/api/v1/Menu~ "Header=>Referer:http://localhost:3000/ | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Signature:84951c9d2e81b0abe392bf67a108e19c | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json | Accept-Language:en-US,en;q=0.9 | Content-Length:158 | Sec-Gpc:1 | Sec-Fetch-Dest:empty"~{"Username":"admin_admin","ParamKey":"MTc0NTY3MjYwMTQxMjY2Ng==JixKpDHu34thkHFzFfaJGDzmJ0WSwE","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:11:12.728029 +0700 WIB m=+2.630814168~18.583µs~
2025/04/26 20:11:43 2025-04-26 20:11:43.390859 +0700 WIB m=+33.293644376~::1~POST~/api/v1/Menu~ "Header=>Signature:84951c9d2e81b0abe392bf67a108e19c | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Origin:http://localhost:3000 | Content-Length:158 | Accept:*/* | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json"~{"Username":"admin_admin","ParamKey":"MTc0NTY3MjYwMTQxMjY2Ng==JixKpDHu34thkHFzFfaJGDzmJ0WSwE","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:11:43.422986 +0700 WIB m=+33.325771376~3.05975ms~
2025/04/26 20:11:48 2025-04-26 20:11:48.964599 +0700 WIB m=+38.867384335~::1~POST~/api/v1/Menu~ "Header=>Signature:84951c9d2e81b0abe392bf67a108e19c | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Referer:http://localhost:3000/ | Content-Length:158 | Sec-Ch-Ua-Platform:"macOS" | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty"~{"Username":"admin_admin","ParamKey":"MTc0NTY3MjYwMTQxMjY2Ng==JixKpDHu34thkHFzFfaJGDzmJ0WSwE","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:11:48.971411 +0700 WIB m=+38.874196460~6.334µs~
2025/04/26 20:16:44 2025-04-26 20:16:44.47457 +0700 WIB m=+7.166579084~::1~POST~/api/v1/Menu~ "Header=>Content-Type:application/json | Sec-Fetch-Dest:empty | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:158 | Signature:84951c9d2e81b0abe392bf67a108e19c | Sec-Ch-Ua-Mobile:?0"~{"Username":"admin_admin","ParamKey":"MTc0NTY3MjYwMTQxMjY2Ng==JixKpDHu34thkHFzFfaJGDzmJ0WSwE","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:16:44.486458 +0700 WIB m=+7.178466751~14.375µs~
2025/04/26 20:19:40 2025-04-26 20:19:40.491164 +0700 WIB m=+18.490426251~::1~POST~/api/v1/Menu~ "Header=>Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | Accept-Language:en-US,en;q=0.9 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Content-Length:158 | Sec-Fetch-Mode:cors | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Gpc:1 | Referer:http://localhost:3000/ | Signature:84951c9d2e81b0abe392bf67a108e19c"~{"Username":"admin_admin","ParamKey":"MTc0NTY3MjYwMTQxMjY2Ng==JixKpDHu34thkHFzFfaJGDzmJ0WSwE","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:19:40.502797 +0700 WIB m=+18.502059584~15.167µs~
2025/04/26 20:24:58 2025-04-26 20:24:58.185014 +0700 WIB m=+3.284188501~::1~POST~/api/v1/Menu~ "Header=>Connection:keep-alive | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Accept-Language:en-US,en;q=0.9 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Sec-Gpc:1 | Sec-Ch-Ua-Platform:"macOS" | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Accept:*/* | Origin:http://localhost:3000 | Content-Length:158 | Signature:2167aedf4eb66ef75f6cd53eff7fb9a8 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0"~{"Username":"admin_super","ParamKey":"MTc0NTY3Mzg5NzY1NDk2Mw==UvVHBIaK0FEAl4qUQwMpdM6lzJcqsn","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:24:58.205963 +0700 WIB m=+3.305137751~12.75µs~
2025/04/26 20:26:05 2025-04-26 20:26:05.217085 +0700 WIB m=+70.316259834~::1~POST~/api/v1/Menu~ "Header=>Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Content-Length:158 | Accept-Encoding:gzip, deflate, br, zstd | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Signature:2167aedf4eb66ef75f6cd53eff7fb9a8 | Accept:*/* | Origin:http://localhost:3000"~{"Username":"admin_super","ParamKey":"MTc0NTY3Mzg5NzY1NDk2Mw==UvVHBIaK0FEAl4qUQwMpdM6lzJcqsn","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:26:05.252017 +0700 WIB m=+70.351191709~13.625µs~
2025/04/26 20:26:05 2025-04-26 20:26:05.216237 +0700 WIB m=+70.315411209~::1~POST~/api/v1/Category~ "Header=>Signature:62470b7b8d96acec79986b7a5cba7ca2 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Referer:http://localhost:3000/ | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Content-Length:171 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Content-Type:application/json | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Connection:keep-alive | Accept-Encoding:gzip, deflate, br, zstd"~{"UserName":"admin_super","ParamKey":"MTc0NTY3Mzg5NzY1NDk2Mw==UvVHBIaK0FEAl4qUQwMpdM6lzJcqsn","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:26:05.252043 +0700 WIB m=+70.351217209~5.417µs~
2025/04/26 20:27:30 2025-04-26 20:27:30.724579 +0700 WIB m=+155.823753251~::1~POST~/api/v1/Menu~ "Header=>Signature:2167aedf4eb66ef75f6cd53eff7fb9a8 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:158 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/"~{"Username":"admin_super","ParamKey":"MTc0NTY3Mzg5NzY1NDk2Mw==UvVHBIaK0FEAl4qUQwMpdM6lzJcqsn","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-26 20:27:30.790629 +0700 WIB m=+155.889803084~10.833µs~
