2025/05/02 20:36:42 2025-05-02 20:36:42.518404 +0700 WIB m=+52007.689351584~::1~POST~/api/v1/Menu~ "Header=>Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Content-Type:application/json | Sec-Gpc:1 | Accept-Encoding:gzip, deflate, br, zstd | Signature:7fdacf36a870f1dbff3a4325479e42e3 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Referer:http://localhost:3000/ | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Connection:keep-alive | Content-Length:160 | Sec-Ch-Ua-Mobile:?0 | Accept:*/*"~{"Username":"admin_testing","ParamKey":"MTc0NjE5MzAwMjI5NjQ4NQ==GCS3fIaaE4skBAGjTpPpTK0NVBIcDe","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-05-02 20:36:42.538486 +0700 WIB m=+52007.709433501~13.333µs~
2025/05/02 20:36:47 2025-05-02 20:36:47.259081 +0700 WIB m=+52012.430029001~::1~POST~/api/v1/ListRole~ "Header=>Content-Length:164 | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Connection:keep-alive | Signature:0ef3a498bf7cba678c24ddc4285d6211 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Fetch-Mode:cors | Sec-Fetch-Site:same-site | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Content-Type:application/json | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd"~{"UserName":"admin_testing","ParamKey":"MTc0NjE5MzAwMjI5NjQ4NQ==GCS3fIaaE4skBAGjTpPpTK0NVBIcDe","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":"DESC"}~200~2025-05-02 20:36:47.537187 +0700 WIB m=+52012.708134918~75.667µs~
2025/05/02 20:36:47 2025-05-02 20:36:47.263188 +0700 WIB m=+52012.434136001~::1~POST~/api/v1/Menu~ "Header=>Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Gpc:1 | Referer:http://localhost:3000/ | Content-Length:160 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Accept-Encoding:gzip, deflate, br, zstd | Signature:7fdacf36a870f1dbff3a4325479e42e3 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Fetch-Site:same-site"~{"Username":"admin_testing","ParamKey":"MTc0NjE5MzAwMjI5NjQ4NQ==GCS3fIaaE4skBAGjTpPpTK0NVBIcDe","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-05-02 20:36:47.551112 +0700 WIB m=+52012.722059751~12.708µs~
2025/05/02 20:36:47 2025-05-02 20:36:47.29414 +0700 WIB m=+52012.465088043~::1~POST~/api/v1/User~ "Header=>Content-Length:215 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Signature:44590a4e2af79b37d719acc254e87d66 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9"~{"UserName":"admin_testing","ParamKey":"MTc0NjE5MzAwMjI5NjQ4NQ==GCS3fIaaE4skBAGjTpPpTK0NVBIcDe","Method":"SELECT","Id":"","UsernameLogin":"","RoleId":"","Status":"","Page":1,"RowPage":20,"OrderBy":"","Order":"DESC"}~200~2025-05-02 20:36:47.553312 +0700 WIB m=+52012.724259418~8.25µs~
2025/05/02 20:37:02 2025-05-02 20:37:02.349249 +0700 WIB m=+52027.520196418~::1~POST~/api/v1/Menu~ "Header=>Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Content-Length:160 | Signature:7fdacf36a870f1dbff3a4325479e42e3 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept:*/* | Sec-Gpc:1 | Connection:keep-alive | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_testing","ParamKey":"MTc0NjE5MzAwMjI5NjQ4NQ==GCS3fIaaE4skBAGjTpPpTK0NVBIcDe","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-05-02 20:37:02.376464 +0700 WIB m=+52027.547411376~15.25µs~
2025/05/02 20:37:03 2025-05-02 20:37:03.359985 +0700 WIB m=+52028.530932251~::1~POST~/api/v1/Menu~ "Header=>Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Connection:keep-alive | Content-Type:application/json | Origin:http://localhost:3000 | Content-Length:160 | Accept:*/* | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Signature:7fdacf36a870f1dbff3a4325479e42e3 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Fetch-Site:same-site"~{"Username":"admin_testing","ParamKey":"MTc0NjE5MzAwMjI5NjQ4NQ==GCS3fIaaE4skBAGjTpPpTK0NVBIcDe","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-05-02 20:37:03.386186 +0700 WIB m=+52028.557133501~14.125µs~
2025/05/02 20:37:03 2025-05-02 20:37:03.361503 +0700 WIB m=+52028.532450376~::1~POST~/api/v1/User~ "Header=>Signature:44590a4e2af79b37d719acc254e87d66 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Content-Length:215 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Dest:empty"~{"UserName":"admin_testing","ParamKey":"MTc0NjE5MzAwMjI5NjQ4NQ==GCS3fIaaE4skBAGjTpPpTK0NVBIcDe","Method":"SELECT","Id":"","UsernameLogin":"","RoleId":"","Status":"","Page":1,"RowPage":20,"OrderBy":"","Order":"DESC"}~200~2025-05-02 20:37:03.387816 +0700 WIB m=+52028.558763376~12µs~
2025/05/02 20:37:03 2025-05-02 20:37:03.361767 +0700 WIB m=+52028.532714251~::1~POST~/api/v1/ListRole~ "Header=>Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Referer:http://localhost:3000/ | Connection:keep-alive | Content-Length:164 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | Signature:0ef3a498bf7cba678c24ddc4285d6211 | Accept:*/* | Sec-Fetch-Mode:cors"~{"UserName":"admin_testing","ParamKey":"MTc0NjE5MzAwMjI5NjQ4NQ==GCS3fIaaE4skBAGjTpPpTK0NVBIcDe","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":"DESC"}~200~2025-05-02 20:37:03.389499 +0700 WIB m=+52028.560446918~16.917µs~
2025/05/02 20:43:49 2025-05-02 20:43:49.523668 +0700 WIB m=+52434.694615834~::1~POST~/api/v1/ListRole~ "Header=>Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Signature:0ef3a498bf7cba678c24ddc4285d6211 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Content-Length:164 | Sec-Ch-Ua-Platform:"macOS" | Referer:http://localhost:3000/"~{"UserName":"admin_testing","ParamKey":"MTc0NjE5MzAwMjI5NjQ4NQ==GCS3fIaaE4skBAGjTpPpTK0NVBIcDe","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":"DESC"}~200~2025-05-02 20:43:49.578354 +0700 WIB m=+52434.749301584~31.583µs~
2025/05/02 20:43:49 2025-05-02 20:43:49.523818 +0700 WIB m=+52434.694765626~::1~POST~/api/v1/ListRole~ "Header=>Accept-Encoding:gzip, deflate, br, zstd | Accept:*/* | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Fetch-Mode:cors | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Content-Length:164 | Signature:0ef3a498bf7cba678c24ddc4285d6211 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept-Language:en-US,en;q=0.9"~{"UserName":"admin_testing","ParamKey":"MTc0NjE5MzAwMjI5NjQ4NQ==GCS3fIaaE4skBAGjTpPpTK0NVBIcDe","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":"DESC"}~200~2025-05-02 20:43:49.580791 +0700 WIB m=+52434.751738126~144.708µs~
2025/05/02 20:47:27 2025-05-02 20:47:27.642774 +0700 WIB m=+52652.813721376~::1~POST~/api/v1/ListRole~ "Header=>Connection:keep-alive | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Sec-Fetch-Dest:empty | Signature:0ef3a498bf7cba678c24ddc4285d6211 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Content-Length:164 | Sec-Ch-Ua-Platform:"macOS" | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/"~{"UserName":"admin_testing","ParamKey":"MTc0NjE5MzAwMjI5NjQ4NQ==GCS3fIaaE4skBAGjTpPpTK0NVBIcDe","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":"DESC"}~200~2025-05-02 20:47:27.65955 +0700 WIB m=+52652.830497459~8.125µs~
