2026/01/24 14:23:16 2026-01-24 14:23:16.467131 +0700 WIB m=+86.181842376~::1~POST~/api/v1/Menu~ "Header=>Sec-Ch-Ua:"Brave";v="143", "Chromium";v="143", "Not A(Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Content-Length:159 | Signature:94984fc021138edaf419dc6f65fe6f11 | Sec-Gpc:1 | Sec-Fetch-Dest:empty | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 | Accept:*/* | Accept-Language:en-US,en;q=0.5 | Origin:http://localhost:3001 | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Referer:http://localhost:3001/"~{"Username":"admin_gudang","ParamKey":"MTc2OTIzOTM5NjAwOTI2OA==VlKvwfmCnVxMFNeF9fU1YKI6j5njw0","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2026-01-24 14:23:16.555686 +0700 WIB m=+86.270397835~13.834µs~
2026/01/24 14:23:51 2026-01-24 14:23:51.167121 +0700 WIB m=+120.881832501~::1~POST~/api/v1/Menu~ "Header=>Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 | Content-Type:application/json | Signature:94984fc021138edaf419dc6f65fe6f11 | Sec-Ch-Ua:"Brave";v="143", "Chromium";v="143", "Not A(Brand";v="24" | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Referer:http://localhost:3001/ | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:159 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Accept-Language:en-US,en;q=0.5 | Origin:http://localhost:3001"~{"Username":"admin_gudang","ParamKey":"MTc2OTIzOTM5NjAwOTI2OA==VlKvwfmCnVxMFNeF9fU1YKI6j5njw0","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2026-01-24 14:23:51.221934 +0700 WIB m=+120.936645710~17.584µs~
2026/01/24 21:15:49 2026-01-24 21:15:49.740848 +0700 WIB m=+13613.009476376~::1~POST~/api/v1/Menu~ "Header=>Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 | Accept:*/* | Accept-Language:en-US,en;q=0.5 | Signature:94984fc021138edaf419dc6f65fe6f11 | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Mode:cors | Referer:http://localhost:3001/ | Sec-Ch-Ua-Platform:"macOS" | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Sec-Gpc:1 | Origin:http://localhost:3001 | Sec-Fetch-Site:same-site | Content-Length:159 | Sec-Ch-Ua:"Brave";v="143", "Chromium";v="143", "Not A(Brand";v="24" | Content-Type:application/json"~{"Username":"admin_gudang","ParamKey":"MTc2OTIzOTM5NjAwOTI2OA==VlKvwfmCnVxMFNeF9fU1YKI6j5njw0","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2026-01-24 21:15:49.893929 +0700 WIB m=+13613.162557835~12.209µs~Session Expired
2026/01/24 21:28:49 2026-01-24 21:28:49.953319 +0700 WIB m=+14393.221947126~::1~POST~/api/v1/Menu~ "Header=>Sec-Fetch-Mode:cors | Sec-Ch-Ua:"Brave";v="143", "Chromium";v="143", "Not A(Brand";v="24" | Signature:18ac9f739d57b1952fdc045da334a804 | Accept:*/* | Origin:http://localhost:3001 | Sec-Fetch-Site:same-site | Content-Length:159 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Dest:empty | Referer:http://localhost:3001/ | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.5 | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive"~{"Username":"admin_gudang","ParamKey":"MTc2OTI2NDkyODc5NTYxNw==E1Cg7yObfcMyVwPmgOv47PyTJLy45O","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2026-01-24 21:28:49.983852 +0700 WIB m=+14393.252480126~9.333µs~
2026/01/24 21:28:56 2026-01-24 21:28:56.618607 +0700 WIB m=+14399.887235460~::1~POST~/api/v1/Category~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.5 | Referer:http://localhost:3001/ | Origin:http://localhost:3001 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Content-Length:172 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="143", "Chromium";v="143", "Not A(Brand";v="24" | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Signature:fb5d1f38f9efdd1e4eb574cfa4941822 | Content-Type:application/json | Accept:*/*"~{"UserName":"admin_gudang","ParamKey":"MTc2OTI2NDkyODc5NTYxNw==E1Cg7yObfcMyVwPmgOv47PyTJLy45O","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2026-01-24 21:28:56.68613 +0700 WIB m=+14399.954758168~58µs~
2026/01/24 21:28:56 2026-01-24 21:28:56.62133 +0700 WIB m=+14399.889958501~::1~POST~/api/v1/Menu~ "Header=>Referer:http://localhost:3001/ | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Signature:18ac9f739d57b1952fdc045da334a804 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 | Accept:*/* | Accept-Language:en-US,en;q=0.5 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Content-Length:159 | Sec-Ch-Ua:"Brave";v="143", "Chromium";v="143", "Not A(Brand";v="24" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Origin:http://localhost:3001 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_gudang","ParamKey":"MTc2OTI2NDkyODc5NTYxNw==E1Cg7yObfcMyVwPmgOv47PyTJLy45O","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2026-01-24 21:28:56.690332 +0700 WIB m=+14399.958961001~16.75µs~
2026/01/24 21:28:57 2026-01-24 21:28:57.528258 +0700 WIB m=+14400.796887085~::1~POST~/api/v1/Menu~ "Header=>Connection:keep-alive | Content-Length:159 | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Accept-Language:en-US,en;q=0.5 | Origin:http://localhost:3001 | Referer:http://localhost:3001/ | Sec-Fetch-Dest:empty | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Signature:18ac9f739d57b1952fdc045da334a804 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="143", "Chromium";v="143", "Not A(Brand";v="24" | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_gudang","ParamKey":"MTc2OTI2NDkyODc5NTYxNw==E1Cg7yObfcMyVwPmgOv47PyTJLy45O","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2026-01-24 21:28:57.542221 +0700 WIB m=+14400.810849418~14.917µs~
2026/01/24 21:28:58 2026-01-24 21:28:58.230785 +0700 WIB m=+14401.499413668~::1~POST~/api/v1/Menu~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Sec-Ch-Ua-Platform:"macOS" | Connection:keep-alive | Content-Length:159 | Accept-Language:en-US,en;q=0.5 | Origin:http://localhost:3001 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Referer:http://localhost:3001/ | Signature:18ac9f739d57b1952fdc045da334a804 | Content-Type:application/json | Sec-Fetch-Dest:empty | Sec-Ch-Ua:"Brave";v="143", "Chromium";v="143", "Not A(Brand";v="24""~{"Username":"admin_gudang","ParamKey":"MTc2OTI2NDkyODc5NTYxNw==E1Cg7yObfcMyVwPmgOv47PyTJLy45O","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2026-01-24 21:28:58.247341 +0700 WIB m=+14401.515969626~15.416µs~
2026/01/24 21:28:58 2026-01-24 21:28:58.882842 +0700 WIB m=+14402.151470543~::1~POST~/api/v1/Menu~ "Header=>Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Content-Length:159 | Signature:18ac9f739d57b1952fdc045da334a804 | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="143", "Chromium";v="143", "Not A(Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Accept-Language:en-US,en;q=0.5 | Origin:http://localhost:3001 | Referer:http://localhost:3001/ | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_gudang","ParamKey":"MTc2OTI2NDkyODc5NTYxNw==E1Cg7yObfcMyVwPmgOv47PyTJLy45O","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2026-01-24 21:28:58.896571 +0700 WIB m=+14402.165199126~22.666µs~
2026/01/24 21:28:59 2026-01-24 21:28:59.91515 +0700 WIB m=+14403.183778376~::1~POST~/api/v1/Menu~ "Header=>Content-Length:159 | Sec-Ch-Ua-Platform:"macOS" | Signature:18ac9f739d57b1952fdc045da334a804 | Sec-Gpc:1 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Accept-Language:en-US,en;q=0.5 | Connection:keep-alive | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Sec-Ch-Ua:"Brave";v="143", "Chromium";v="143", "Not A(Brand";v="24" | Origin:http://localhost:3001 | Referer:http://localhost:3001/ | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_gudang","ParamKey":"MTc2OTI2NDkyODc5NTYxNw==E1Cg7yObfcMyVwPmgOv47PyTJLy45O","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2026-01-24 21:28:59.938757 +0700 WIB m=+14403.207385335~20.25µs~
2026/01/24 21:29:00 2026-01-24 21:29:00.909956 +0700 WIB m=+14404.178584835~::1~POST~/api/v1/Menu~ "Header=>Signature:18ac9f739d57b1952fdc045da334a804 | Content-Type:application/json | Sec-Gpc:1 | Origin:http://localhost:3001 | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:159 | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.5 | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Platform:"macOS" | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="143", "Chromium";v="143", "Not A(Brand";v="24" | Accept:*/* | Referer:http://localhost:3001/"~{"Username":"admin_gudang","ParamKey":"MTc2OTI2NDkyODc5NTYxNw==E1Cg7yObfcMyVwPmgOv47PyTJLy45O","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2026-01-24 21:29:00.945185 +0700 WIB m=+14404.213813418~20.25µs~
