2026/01/31 11:39:08 2026-01-31 11:39:08.470691 +0700 WIB m=+1556.885782709~::1~POST~/api/v1/Obat~ "Header=>User-Agent:PostmanRuntime/7.51.1 | Accept-Encoding:gzip, deflate, br | Signature:f1001bac95ff7892113f41abf7e7d24f | Content-Type:application/json | Accept:*/* | Cache-Control:no-cache | Postman-Token:1b0644a0-4032-480d-b04b-68595131cce2 | Connection:keep-alive | Content-Length:158"~{    "Username": "admin",    "ParamKey": "MTc2OTgzNDMzMDc1NTIyMA==HMqkV7FLt31AApKZfG2YRfLJdDJBiz",    "Method": "SELECT",    "Page": 1,    "RowPage": 5}~200~2026-01-31 11:39:08.55696 +0700 WIB m=+1556.972052084~19.125µs~
2026/01/31 12:17:24 2026-01-31 12:17:24.204626 +0700 WIB m=+3852.619717751~172.20.10.6~POST~/api/v1/Menu~ "Header=>Referer:http://localhost:8335/ | Accept-Encoding:gzip, deflate | Connection:keep-alive | Content-Length:128 | Content-Type:application/json | Signature:f9849a14b5ee3031ad6cd1ca22eec93d | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.5 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 | Accept:*/* | Origin:http://localhost:8335"~{"Username":"admin","ParamKey":"MTc2OTgzMjg1MzczOTcwNg==LMQYcCwfP5TWHqQOzE2rLmEjD9qZt3","Method":"SELECT","Page":1,"RowPage":-1}~200~2026-01-31 12:17:24.291562 +0700 WIB m=+3852.706653834~9.083µs~Session Expired
2026/01/31 12:17:24 2026-01-31 12:17:24.204345 +0700 WIB m=+3852.619436917~172.20.10.6~POST~/api/v1/Obat~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 | Content-Type:application/json | Signature:4a1a9cb67d514f4d2a7c808af8e9a9f9 | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.5 | Referer:http://localhost:8335/ | Accept-Encoding:gzip, deflate | Connection:keep-alive | Content-Length:127 | Origin:http://localhost:8335"~{"Username":"admin","ParamKey":"MTc2OTgzMjg1MzczOTcwNg==LMQYcCwfP5TWHqQOzE2rLmEjD9qZt3","Method":"SELECT","Page":1,"RowPage":5}~200~2026-01-31 12:17:24.293812 +0700 WIB m=+3852.708904042~11.458µs~Session Expired
2026/01/31 12:19:12 2026-01-31 12:19:12.306379 +0700 WIB m=+3960.721470667~172.20.10.6~POST~/api/v1/Menu~ "Header=>Connection:keep-alive | Content-Length:128 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 | Content-Type:application/json | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.5 | Signature:e517e72a0e734d7f7130efeb9ee9ab4d | Origin:http://localhost:8335 | Referer:http://localhost:8335/ | Accept-Encoding:gzip, deflate"~{"Username":"admin","ParamKey":"MTc2OTgzNjY0OTc1NDM4Mw==DRNT5gDdpjQjFTwt6V8n1XbF4uo7FH","Method":"SELECT","Page":1,"RowPage":-1}~200~2026-01-31 12:19:12.333662 +0700 WIB m=+3960.748754167~259.25µs~
2026/01/31 12:19:12 2026-01-31 12:19:12.30754 +0700 WIB m=+3960.722631376~172.20.10.6~POST~/api/v1/Obat~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 | Signature:0cd9607a317ebdcfa0d2f7cf2df3baab | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.5 | Content-Type:application/json | Accept:*/* | Origin:http://localhost:8335 | Referer:http://localhost:8335/ | Accept-Encoding:gzip, deflate | Connection:keep-alive | Content-Length:127"~{"Username":"admin","ParamKey":"MTc2OTgzNjY0OTc1NDM4Mw==DRNT5gDdpjQjFTwt6V8n1XbF4uo7FH","Method":"SELECT","Page":1,"RowPage":5}~200~2026-01-31 12:19:12.344084 +0700 WIB m=+3960.759176209~7.792µs~
2026/01/31 12:19:49 2026-01-31 12:19:49.699037 +0700 WIB m=+3998.114128959~172.20.10.6~POST~/api/v1/Obat~ "Header=>Referer:http://localhost:8335/ | Accept-Encoding:gzip, deflate | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.5 | Origin:http://localhost:8335 | Content-Length:127 | Content-Type:application/json | Signature:0cd9607a317ebdcfa0d2f7cf2df3baab"~{"Username":"admin","ParamKey":"MTc2OTgzNjY0OTc1NDM4Mw==DRNT5gDdpjQjFTwt6V8n1XbF4uo7FH","Method":"SELECT","Page":1,"RowPage":5}~200~2026-01-31 12:19:49.799565 +0700 WIB m=+3998.214657251~12.625µs~
2026/01/31 12:19:55 2026-01-31 12:19:55.781193 +0700 WIB m=+4004.196284834~172.20.10.6~POST~/api/v1/Obat~ "Header=>Accept-Encoding:gzip, deflate | Connection:keep-alive | Content-Length:127 | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.5 | Origin:http://localhost:8335 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 | Content-Type:application/json | Signature:0cd9607a317ebdcfa0d2f7cf2df3baab | Referer:http://localhost:8335/"~{"Username":"admin","ParamKey":"MTc2OTgzNjY0OTc1NDM4Mw==DRNT5gDdpjQjFTwt6V8n1XbF4uo7FH","Method":"SELECT","Page":1,"RowPage":5}~200~2026-01-31 12:19:55.803581 +0700 WIB m=+4004.218672667~80.333µs~
2026/01/31 12:20:06 2026-01-31 12:20:06.972222 +0700 WIB m=+4015.387313792~172.20.10.6~POST~/api/v1/Obat~ "Header=>Signature:0cd9607a317ebdcfa0d2f7cf2df3baab | Origin:http://localhost:8335 | Referer:http://localhost:8335/ | Accept-Encoding:gzip, deflate | Connection:keep-alive | Content-Length:127 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.5 | Content-Type:application/json"~{"Username":"admin","ParamKey":"MTc2OTgzNjY0OTc1NDM4Mw==DRNT5gDdpjQjFTwt6V8n1XbF4uo7FH","Method":"SELECT","Page":1,"RowPage":5}~200~2026-01-31 12:20:06.994708 +0700 WIB m=+4015.409799834~19.583µs~
2026/01/31 12:20:27 2026-01-31 12:20:27.076626 +0700 WIB m=+4035.491718251~172.20.10.6~POST~/api/v1/Obat~ "Header=>Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 | Content-Type:application/json | Accept:*/* | Accept-Language:en-US,en;q=0.5 | Referer:http://localhost:8335/ | Content-Length:127 | Signature:0cd9607a317ebdcfa0d2f7cf2df3baab | Sec-Gpc:1 | Origin:http://localhost:8335 | Accept-Encoding:gzip, deflate"~{"Username":"admin","ParamKey":"MTc2OTgzNjY0OTc1NDM4Mw==DRNT5gDdpjQjFTwt6V8n1XbF4uo7FH","Method":"SELECT","Page":1,"RowPage":5}~200~2026-01-31 12:20:27.354022 +0700 WIB m=+4035.769113834~7.833µs~
2026/01/31 12:20:40 2026-01-31 12:20:40.518487 +0700 WIB m=+4048.933578709~172.20.10.6~POST~/api/v1/Obat~ "Header=>Accept:*/* | Accept-Language:en-US,en;q=0.5 | Referer:http://localhost:8335/ | Connection:keep-alive | Content-Length:127 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 | Content-Type:application/json | Signature:0cd9607a317ebdcfa0d2f7cf2df3baab | Sec-Gpc:1 | Origin:http://localhost:8335 | Accept-Encoding:gzip, deflate"~{"Username":"admin","ParamKey":"MTc2OTgzNjY0OTc1NDM4Mw==DRNT5gDdpjQjFTwt6V8n1XbF4uo7FH","Method":"SELECT","Page":1,"RowPage":5}~200~2026-01-31 12:20:40.58516 +0700 WIB m=+4049.000251417~7.958µs~
2026/01/31 12:20:54 2026-01-31 12:20:54.610933 +0700 WIB m=+4063.026025042~172.20.10.6~POST~/api/v1/Obat~ "Header=>Content-Type:application/json | Signature:0cd9607a317ebdcfa0d2f7cf2df3baab | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.5 | Origin:http://localhost:8335 | Content-Length:127 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 | Referer:http://localhost:8335/ | Accept-Encoding:gzip, deflate | Connection:keep-alive"~{"Username":"admin","ParamKey":"MTc2OTgzNjY0OTc1NDM4Mw==DRNT5gDdpjQjFTwt6V8n1XbF4uo7FH","Method":"SELECT","Page":1,"RowPage":5}~200~2026-01-31 12:20:54.96672 +0700 WIB m=+4063.381812126~20.459µs~
2026/01/31 12:21:28 2026-01-31 12:21:28.0797 +0700 WIB m=+4096.494791459~172.20.10.6~POST~/api/v1/Obat~ "Header=>Connection:keep-alive | Content-Type:application/json | Signature:0cd9607a317ebdcfa0d2f7cf2df3baab | Accept:*/* | Sec-Gpc:1 | Referer:http://localhost:8335/ | Accept-Encoding:gzip, deflate | Content-Length:127 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 | Accept-Language:en-US,en;q=0.5 | Origin:http://localhost:8335"~{"Username":"admin","ParamKey":"MTc2OTgzNjY0OTc1NDM4Mw==DRNT5gDdpjQjFTwt6V8n1XbF4uo7FH","Method":"SELECT","Page":1,"RowPage":5}~200~2026-01-31 12:21:28.128771 +0700 WIB m=+4096.543862709~7.5µs~
