2026/02/12 11:54:26 2026-02-12 11:54:26.24567 +0700 WIB m=+23672.515380543~192.168.115.191~POST~/api/v1/Menu~ "Header=>Sec-Gpc:1 | Accept-Language:en-US,en;q=0.5 | Origin:http://localhost:8335 | Referer:http://localhost:8335/ | Connection:keep-alive | Content-Length:128 | Content-Type:application/json | Signature:43ddf991cdda3a997887688cfa93e9e3 | Accept-Encoding:gzip, deflate | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Accept:*/*"~{"Username":"admin","ParamKey":"MTc3MDgyMDc1NjcxMTMwNQ==oBLkCqK8WpiOZ2QuxPIg7TbeYf7Eig","Method":"SELECT","Page":1,"RowPage":-1}~200~2026-02-12 11:54:26.356193 +0700 WIB m=+23672.625903876~6.833µs~Session Expired
2026/02/12 11:54:30 2026-02-12 11:54:30.071744 +0700 WIB m=+23676.341454501~192.168.115.191~POST~/api/v1/Menu~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Content-Type:application/json | Signature:55589054d710b53bbf489836181d9a07 | Accept:*/* | Origin:http://localhost:8335 | Content-Length:128 | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.5 | Referer:http://localhost:8335/ | Accept-Encoding:gzip, deflate | Connection:keep-alive"~{"Username":"admin","ParamKey":"MTc3MDg3MjA2OTcyODQxNQ==d5zuFgFz7n52UBfmrElI6oNrbipAtd","Method":"SELECT","Page":1,"RowPage":-1}~200~2026-02-12 11:54:30.093394 +0700 WIB m=+23676.363104834~21.291µs~
2026/02/12 11:54:33 2026-02-12 11:54:33.04915 +0700 WIB m=+23679.318860668~192.168.115.191~POST~/api/v1/Menu~ "Header=>Origin:http://localhost:8335 | Content-Type:application/json | Accept:*/* | Referer:http://localhost:8335/ | Accept-Encoding:gzip, deflate | Connection:keep-alive | Content-Length:128 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Signature:55589054d710b53bbf489836181d9a07 | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.5"~{"Username":"admin","ParamKey":"MTc3MDg3MjA2OTcyODQxNQ==d5zuFgFz7n52UBfmrElI6oNrbipAtd","Method":"SELECT","Page":1,"RowPage":-1}~200~2026-02-12 11:54:33.069421 +0700 WIB m=+23679.339131334~6.458µs~
2026/02/12 17:10:39 2026-02-12 17:10:39.59641 +0700 WIB m=+42645.866120751~192.168.115.191~POST~/api/v1/Menu~ "Header=>Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Signature:55589054d710b53bbf489836181d9a07 | Accept:*/* | Accept-Language:en-US,en;q=0.5 | Origin:http://localhost:8335 | Referer:http://localhost:8335/ | Accept-Encoding:gzip, deflate | Content-Length:128 | Content-Type:application/json | Sec-Gpc:1"~{"Username":"admin","ParamKey":"MTc3MDg3MjA2OTcyODQxNQ==d5zuFgFz7n52UBfmrElI6oNrbipAtd","Method":"SELECT","Page":1,"RowPage":-1}~200~2026-02-12 17:10:39.806777 +0700 WIB m=+42646.076487709~13.416µs~Session Expired
2026/02/12 17:11:09 2026-02-12 17:11:09.432294 +0700 WIB m=+42675.702004376~192.168.115.191~POST~/api/v1/Menu~ "Header=>Referer:http://localhost:8335/ | Accept-Encoding:gzip, deflate | Content-Length:128 | Content-Type:application/json | Signature:38b14941aefba7b08c427486e99fa760 | Sec-Gpc:1 | Origin:http://localhost:8335 | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Accept:*/* | Accept-Language:en-US,en;q=0.5"~{"Username":"admin","ParamKey":"MTc3MDg5MTA2OTAyMDg0NQ==9JKoCpIhG6A2E0XfzHV1ycvMRypmfZ","Method":"SELECT","Page":1,"RowPage":-1}~200~2026-02-12 17:11:09.458792 +0700 WIB m=+42675.728502709~12.5µs~
2026/02/12 17:11:18 2026-02-12 17:11:18.911078 +0700 WIB m=+42685.180788126~192.168.115.191~POST~/api/v1/Menu~ "Header=>Referer:http://localhost:8335/ | Connection:keep-alive | Content-Length:128 | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.5 | Origin:http://localhost:8335 | Accept-Encoding:gzip, deflate | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Content-Type:application/json | Signature:38b14941aefba7b08c427486e99fa760 | Accept:*/*"~{"Username":"admin","ParamKey":"MTc3MDg5MTA2OTAyMDg0NQ==9JKoCpIhG6A2E0XfzHV1ycvMRypmfZ","Method":"SELECT","Page":1,"RowPage":-1}~200~2026-02-12 17:11:18.932773 +0700 WIB m=+42685.202484043~13.459µs~
2026/02/12 17:12:45 2026-02-12 17:12:45.652029 +0700 WIB m=+42771.921739251~192.168.115.191~POST~/api/v1/Menu~ "Header=>Connection:keep-alive | Content-Length:128 | Content-Type:application/json | Signature:38b14941aefba7b08c427486e99fa760 | Accept:*/* | Accept-Language:en-US,en;q=0.5 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Sec-Gpc:1 | Origin:http://localhost:8335 | Referer:http://localhost:8335/ | Accept-Encoding:gzip, deflate"~{"Username":"admin","ParamKey":"MTc3MDg5MTA2OTAyMDg0NQ==9JKoCpIhG6A2E0XfzHV1ycvMRypmfZ","Method":"SELECT","Page":1,"RowPage":-1}~200~2026-02-12 17:12:45.737862 +0700 WIB m=+42772.007572084~13.625µs~
2026/02/12 17:12:45 2026-02-12 17:12:45.652041 +0700 WIB m=+42771.921751751~192.168.115.191~POST~/api/v1/Obat~ "Header=>Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Content-Type:application/json | Signature:43e63bdc35475b017fe7e173fa4fcb0d | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.5 | Referer:http://localhost:8335/ | Content-Length:175 | Accept:*/* | Origin:http://localhost:8335 | Accept-Encoding:gzip, deflate"~{"Username":"admin","ParamKey":"MTc3MDg5MTA2OTAyMDg0NQ==9JKoCpIhG6A2E0XfzHV1ycvMRypmfZ","Method":"SELECT","Id":"","NamaObat":"","Supplier":"","Status":"","Page":1,"RowPage":5}~200~2026-02-12 17:12:45.738128 +0700 WIB m=+42772.007839001~12.042µs~
2026/02/12 17:13:53 2026-02-12 17:13:53.808799 +0700 WIB m=+42840.078509543~192.168.115.191~POST~/api/v1/Menu~ "Header=>Accept-Language:en-US,en;q=0.5 | Referer:http://localhost:8335/ | Accept-Encoding:gzip, deflate | Connection:keep-alive | Accept:*/* | Sec-Gpc:1 | Origin:http://localhost:8335 | Content-Length:128 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Content-Type:application/json | Signature:38b14941aefba7b08c427486e99fa760"~{"Username":"admin","ParamKey":"MTc3MDg5MTA2OTAyMDg0NQ==9JKoCpIhG6A2E0XfzHV1ycvMRypmfZ","Method":"SELECT","Page":1,"RowPage":-1}~200~2026-02-12 17:13:53.882919 +0700 WIB m=+42840.152629668~11.875µs~
2026/02/12 17:13:57 2026-02-12 17:13:57.791488 +0700 WIB m=+42844.061199001~192.168.115.191~POST~/api/v1/Menu~ "Header=>Connection:keep-alive | Content-Length:128 | Signature:38b14941aefba7b08c427486e99fa760 | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.5 | Referer:http://localhost:8335/ | Accept-Encoding:gzip, deflate | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Content-Type:application/json | Accept:*/* | Origin:http://localhost:8335"~{"Username":"admin","ParamKey":"MTc3MDg5MTA2OTAyMDg0NQ==9JKoCpIhG6A2E0XfzHV1ycvMRypmfZ","Method":"SELECT","Page":1,"RowPage":-1}~200~2026-02-12 17:13:57.816626 +0700 WIB m=+42844.086336876~13.333µs~
2026/02/12 17:21:00 2026-02-12 17:21:00.392747 +0700 WIB m=+43266.662457418~192.168.115.191~POST~/api/v1/Menu~ "Header=>Accept:*/* | Sec-Gpc:1 | Accept-Encoding:gzip, deflate | Content-Length:128 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Content-Type:application/json | Accept-Language:en-US,en;q=0.5 | Origin:http://localhost:8335 | Referer:http://localhost:8335/ | Connection:keep-alive | Signature:38b14941aefba7b08c427486e99fa760"~{"Username":"admin","ParamKey":"MTc3MDg5MTA2OTAyMDg0NQ==9JKoCpIhG6A2E0XfzHV1ycvMRypmfZ","Method":"SELECT","Page":1,"RowPage":-1}~200~2026-02-12 17:21:00.416919 +0700 WIB m=+43266.686629793~6.209µs~
2026/02/12 17:21:01 2026-02-12 17:21:01.506164 +0700 WIB m=+43267.775874834~192.168.115.191~POST~/api/v1/Obat~ "Header=>Accept-Encoding:gzip, deflate | Signature:43e63bdc35475b017fe7e173fa4fcb0d | Accept:*/* | Origin:http://localhost:8335 | Connection:keep-alive | Content-Length:175 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.5 | Referer:http://localhost:8335/"~{"Username":"admin","ParamKey":"MTc3MDg5MTA2OTAyMDg0NQ==9JKoCpIhG6A2E0XfzHV1ycvMRypmfZ","Method":"SELECT","Id":"","NamaObat":"","Supplier":"","Status":"","Page":1,"RowPage":5}~200~2026-02-12 17:21:01.528 +0700 WIB m=+43267.797710543~15.084µs~
2026/02/12 17:21:01 2026-02-12 17:21:01.506245 +0700 WIB m=+43267.775955376~192.168.115.191~POST~/api/v1/Menu~ "Header=>Signature:38b14941aefba7b08c427486e99fa760 | Accept:*/* | Accept-Language:en-US,en;q=0.5 | Origin:http://localhost:8335 | Referer:http://localhost:8335/ | Content-Length:128 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Gpc:1 | Accept-Encoding:gzip, deflate | Connection:keep-alive"~{"Username":"admin","ParamKey":"MTc3MDg5MTA2OTAyMDg0NQ==9JKoCpIhG6A2E0XfzHV1ycvMRypmfZ","Method":"SELECT","Page":1,"RowPage":-1}~200~2026-02-12 17:21:01.530878 +0700 WIB m=+43267.800588418~10.125µs~
2026/02/12 17:21:04 2026-02-12 17:21:04.707903 +0700 WIB m=+43270.977613918~192.168.115.191~POST~/api/v1/Menu~ "Header=>Sec-Gpc:1 | Accept-Language:en-US,en;q=0.5 | Connection:keep-alive | Content-Length:128 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 | Signature:38b14941aefba7b08c427486e99fa760 | Origin:http://localhost:8335 | Referer:http://localhost:8335/ | Accept-Encoding:gzip, deflate | Content-Type:application/json | Accept:*/*"~{"Username":"admin","ParamKey":"MTc3MDg5MTA2OTAyMDg0NQ==9JKoCpIhG6A2E0XfzHV1ycvMRypmfZ","Method":"SELECT","Page":1,"RowPage":-1}~200~2026-02-12 17:21:04.719599 +0700 WIB m=+43270.989309376~15.292µs~
