2025/04/22 12:41:54 2025-04-22 12:41:54.571442 +0700 WIB m=+57.301976668~::1~POST~/api/v1/TempTransactionCount~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Signature:149c1f992fd3fcc36fd76cbaa7bb4f6a | Accept:*/* | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Content-Length:171 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Accept-Language:en-US,en;q=0.9 | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Fetch-Dest:empty | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"~{"UserName":"admin_kasir","ParamKey":"MTc0NTMwMDUwMjk4ODU0Nw==aXIFs7CpXBmHZjuKcUv9W73gmYqi9k","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-04-22 12:41:54.587093 +0700 WIB m=+57.317627626~31.042µs~
2025/04/22 12:41:55 2025-04-22 12:41:55.605758 +0700 WIB m=+58.336293209~::1~POST~/api/v1/TempTransaction~ "Header=>Connection:keep-alive | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Dest:empty | Content-Length:214 | Signature:8b5b6e520d9821b7081d75baf1cd6f4c | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site"~{"UserName":"admin_kasir","ParamKey":"MTc0NTMwMDUwMjk4ODU0Nw==aXIFs7CpXBmHZjuKcUv9W73gmYqi9k","Method":"SELECT","TransactionId":"TRX_TEMP_04052025_111539","Page":1,"RowPage":-1,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-04-22 12:41:55.617764 +0700 WIB m=+58.348299043~12.042µs~
2025/04/22 12:41:56 2025-04-22 12:41:56.967841 +0700 WIB m=+59.698375959~::1~POST~/api/v1/TempTransactionCount~ "Header=>Referer:http://localhost:3000/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Connection:keep-alive | Signature:149c1f992fd3fcc36fd76cbaa7bb4f6a | Accept-Encoding:gzip, deflate, br, zstd | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Content-Length:171 | Sec-Ch-Ua-Platform:"macOS" | Sec-Gpc:1"~{"UserName":"admin_kasir","ParamKey":"MTc0NTMwMDUwMjk4ODU0Nw==aXIFs7CpXBmHZjuKcUv9W73gmYqi9k","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-04-22 12:41:56.980673 +0700 WIB m=+59.711207793~17.959µs~
2025/04/22 12:41:58 2025-04-22 12:41:58.278553 +0700 WIB m=+61.009087584~::1~POST~/api/v1/TempTransaction~ "Header=>Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Signature:5d5bddf8a1ea62b67880713f4c817c1f | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Site:same-site | Content-Type:application/json | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Content-Length:214 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Origin:http://localhost:3000"~{"UserName":"admin_kasir","ParamKey":"MTc0NTMwMDUwMjk4ODU0Nw==aXIFs7CpXBmHZjuKcUv9W73gmYqi9k","Method":"SELECT","TransactionId":"TRX_TEMP_05122024_125947","Page":1,"RowPage":-1,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-04-22 12:41:58.292662 +0700 WIB m=+61.023196418~15.375µs~
2025/04/22 12:41:59 2025-04-22 12:41:59.533606 +0700 WIB m=+62.264141293~::1~POST~/api/v1/TempTransactionCount~ "Header=>Content-Length:171 | Accept:*/* | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Dest:empty | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Mode:cors | Sec-Fetch-Site:same-site | Connection:keep-alive | Signature:149c1f992fd3fcc36fd76cbaa7bb4f6a | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Gpc:1"~{"UserName":"admin_kasir","ParamKey":"MTc0NTMwMDUwMjk4ODU0Nw==aXIFs7CpXBmHZjuKcUv9W73gmYqi9k","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-04-22 12:41:59.545331 +0700 WIB m=+62.275865543~29.292µs~
2025/04/22 12:42:01 2025-04-22 12:42:01.190745 +0700 WIB m=+63.921279709~::1~POST~/api/v1/TempTransaction~ "Header=>Content-Type:application/json | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Signature:8b5b6e520d9821b7081d75baf1cd6f4c | Content-Length:214 | Accept:*/* | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Connection:keep-alive | Sec-Fetch-Site:same-site"~{"UserName":"admin_kasir","ParamKey":"MTc0NTMwMDUwMjk4ODU0Nw==aXIFs7CpXBmHZjuKcUv9W73gmYqi9k","Method":"SELECT","TransactionId":"TRX_TEMP_04052025_111539","Page":1,"RowPage":-1,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-04-22 12:42:01.206165 +0700 WIB m=+63.936699709~19.041µs~
2025/04/22 12:42:08 2025-04-22 12:42:08.178069 +0700 WIB m=+70.908604084~::1~POST~/api/v1/TempTransactionCount~ "Header=>Signature:149c1f992fd3fcc36fd76cbaa7bb4f6a | Content-Type:application/json | Sec-Fetch-Site:same-site | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Content-Length:171 | Origin:http://localhost:3000 | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133""~{"UserName":"admin_kasir","ParamKey":"MTc0NTMwMDUwMjk4ODU0Nw==aXIFs7CpXBmHZjuKcUv9W73gmYqi9k","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-04-22 12:42:08.19197 +0700 WIB m=+70.922504959~16.291µs~
2025/04/22 12:42:09 2025-04-22 12:42:09.0762 +0700 WIB m=+71.806734668~::1~POST~/api/v1/TempTransaction~ "Header=>Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Content-Length:214 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | Signature:f7c7b0414b4b168ef8005699714d2362 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd"~{"UserName":"admin_kasir","ParamKey":"MTc0NTMwMDUwMjk4ODU0Nw==aXIFs7CpXBmHZjuKcUv9W73gmYqi9k","Method":"SELECT","TransactionId":"TRX_TEMP_05252024_110622","Page":1,"RowPage":-1,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-04-22 12:42:09.090078 +0700 WIB m=+71.820613084~16.041µs~
2025/04/22 12:42:10 2025-04-22 12:42:10.102362 +0700 WIB m=+72.832897001~::1~POST~/api/v1/TempTransactionCount~ "Header=>Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json | Connection:keep-alive | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Signature:149c1f992fd3fcc36fd76cbaa7bb4f6a | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Content-Length:171"~{"UserName":"admin_kasir","ParamKey":"MTc0NTMwMDUwMjk4ODU0Nw==aXIFs7CpXBmHZjuKcUv9W73gmYqi9k","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-04-22 12:42:10.117 +0700 WIB m=+72.847534584~20.541µs~
2025/04/22 12:42:10 2025-04-22 12:42:10.913092 +0700 WIB m=+73.643627293~::1~POST~/api/v1/TempTransaction~ "Header=>Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Content-Length:214 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Signature:73119fa44779e5825461fd7202503d09 | Content-Type:application/json | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0"~{"UserName":"admin_kasir","ParamKey":"MTc0NTMwMDUwMjk4ODU0Nw==aXIFs7CpXBmHZjuKcUv9W73gmYqi9k","Method":"SELECT","TransactionId":"TRX_TEMP_05122024_130040","Page":1,"RowPage":-1,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-04-22 12:42:10.926248 +0700 WIB m=+73.656783043~22.667µs~
2025/04/22 12:42:11 2025-04-22 12:42:11.861882 +0700 WIB m=+74.592416793~::1~POST~/api/v1/TempTransactionCount~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Connection:keep-alive | Signature:149c1f992fd3fcc36fd76cbaa7bb4f6a | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Content-Length:171 | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Accept:*/*"~{"UserName":"admin_kasir","ParamKey":"MTc0NTMwMDUwMjk4ODU0Nw==aXIFs7CpXBmHZjuKcUv9W73gmYqi9k","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-04-22 12:42:11.874187 +0700 WIB m=+74.604721959~18.625µs~
