2025/04/05 09:52:52 2025-04-05 09:52:52.142665 +0700 WIB m=+39310.418036709~::1~POST~/api/v1/Menu~ "Header=>Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Signature:e6ebc0f84566dc9deb4985cb62cd48ca | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Content-Length:159 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Content-Type:application/json | Accept:*/*"~{"Username":"admin_gudang","ParamKey":"MTc0MzgyMTU2NjI0NDM3MQ==DnUsc152z1cFF8TBZ8erexBUPbjwSO","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 09:52:52.151002 +0700 WIB m=+39310.426373709~28.916µs~
2025/04/05 09:52:52 2025-04-05 09:52:52.143191 +0700 WIB m=+39310.418563376~::1~POST~/api/v1/TransaksiJual~ "Header=>Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Dest:empty | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Fetch-Mode:cors | Accept-Language:en-US,en;q=0.9 | Content-Length:194 | Signature:7a75b948db7f1cc8b164360ae29e0bb3 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133""~{"UserName":"admin_gudang","ParamKey":"MTc0MzgyMTU2NjI0NDM3MQ==DnUsc152z1cFF8TBZ8erexBUPbjwSO","Method":"SELECT","TransaksiId":"","Page":1,"RowPage":20,"OrderBy":"dbmp.tgl_input","Order":"DESC"}~200~2025-04-05 09:52:52.156931 +0700 WIB m=+39310.432302459~17.541µs~
2025/04/05 09:53:06 2025-04-05 09:53:06.940725 +0700 WIB m=+39325.216097043~::1~POST~/api/v1/TransaksiJual~ "Header=>Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Fetch-Dest:empty | Connection:keep-alive | Content-Length:194 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Signature:7a75b948db7f1cc8b164360ae29e0bb3 | Content-Type:application/json | Sec-Fetch-Mode:cors | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9"~{"UserName":"admin_gudang","ParamKey":"MTc0MzgyMTU2NjI0NDM3MQ==DnUsc152z1cFF8TBZ8erexBUPbjwSO","Method":"SELECT","TransaksiId":"","Page":1,"RowPage":20,"OrderBy":"dbmp.tgl_input","Order":"DESC"}~200~2025-04-05 09:53:06.953241 +0700 WIB m=+39325.228613251~34.833µs~
2025/04/05 09:53:34 2025-04-05 09:53:34.520598 +0700 WIB m=+39352.795969459~::1~POST~/api/v1/TransaksiJual~ "Header=>Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Fetch-Site:same-site | Connection:keep-alive | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Signature:7a75b948db7f1cc8b164360ae29e0bb3 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept-Encoding:gzip, deflate, br, zstd | Accept-Language:en-US,en;q=0.9 | Referer:http://localhost:3000/ | Content-Length:194 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Gpc:1"~{"UserName":"admin_gudang","ParamKey":"MTc0MzgyMTU2NjI0NDM3MQ==DnUsc152z1cFF8TBZ8erexBUPbjwSO","Method":"SELECT","TransaksiId":"","Page":1,"RowPage":20,"OrderBy":"dbmp.tgl_input","Order":"DESC"}~200~2025-04-05 09:53:34.531839 +0700 WIB m=+39352.807211168~15.5µs~
2025/04/05 11:14:45 2025-04-05 11:14:45.682764 +0700 WIB m=+678.919797585~::1~POST~/api/v1/Menu~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Content-Length:159 | Sec-Ch-Ua-Platform:"macOS" | Signature:5e1bf9291dbcb485610b9c6cbb8df2c3 | Accept:*/* | Sec-Ch-Ua-Mobile:?0"~{"Username":"admin_gudang","ParamKey":"MTc0MzgyNTMxNzI0OTExNg==94msF7prU2oJ2pnT2K8uybCl0EoYI3","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 11:14:45.7655 +0700 WIB m=+679.002533460~32.084µs~
2025/04/05 11:14:45 2025-04-05 11:14:45.682634 +0700 WIB m=+678.919668085~::1~POST~/api/v1/TransaksiJual~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Dest:empty | Signature:18cccd4753abf5ac5b2788b2de0132a6 | Sec-Fetch-Mode:cors | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:194 | Sec-Gpc:1 | Origin:http://localhost:3000 | Referer:http://localhost:3000/"~{"UserName":"admin_gudang","ParamKey":"MTc0MzgyNTMxNzI0OTExNg==94msF7prU2oJ2pnT2K8uybCl0EoYI3","Method":"SELECT","TransaksiId":"","Page":1,"RowPage":20,"OrderBy":"dbmp.tgl_input","Order":"DESC"}~200~2025-04-05 11:14:45.781842 +0700 WIB m=+679.018876168~19.667µs~
2025/04/05 18:31:01 2025-04-05 18:31:01.65343 +0700 WIB m=+10116.941762376~::1~POST~/api/v1/Menu~ "Header=>Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Signature:12a24e659d1aca2277e9da4f07002a9a | Sec-Ch-Ua-Mobile:?0 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Content-Length:159 | Content-Type:application/json | Sec-Fetch-Dest:empty"~{"Username":"admin_gudang","ParamKey":"MTc0Mzg1MjUxMzI2MzcxMw==P6iHcyfXV6IQheZVXj0tCANf12Olb2","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 18:31:01.659047 +0700 WIB m=+10116.947379043~12.917µs~
2025/04/05 18:31:01 2025-04-05 18:31:01.65345 +0700 WIB m=+10116.941782126~::1~POST~/api/v1/TransaksiJual~ "Header=>Accept:*/* | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Signature:b19af6923a4d5ba97116b2eba1caae36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Content-Length:194 | Sec-Gpc:1 | Sec-Fetch-Mode:cors"~{"UserName":"admin_gudang","ParamKey":"MTc0Mzg1MjUxMzI2MzcxMw==P6iHcyfXV6IQheZVXj0tCANf12Olb2","Method":"SELECT","TransaksiId":"","Page":1,"RowPage":20,"OrderBy":"dbmp.tgl_input","Order":"DESC"}~200~2025-04-05 18:31:01.665485 +0700 WIB m=+10116.953817668~19.375µs~
2025/04/05 20:49:54 2025-04-05 20:49:54.546454 +0700 WIB m=+15637.342989918~::1~POST~/api/v1/Menu~ "Header=>Sec-Ch-Ua-Mobile:?0 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Length:159 | Signature:4505ead9ba7bb1a9d10b3c8a23bb40b3 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Sec-Fetch-Mode:cors | Content-Type:application/json | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS""~{"Username":"admin_gudang","ParamKey":"MTc0Mzg2MDkzMzY1NjIyNg==Evz3qY33Bn9ZjPC67qiqGdNQwp5Cvd","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 20:49:54.554132 +0700 WIB m=+15637.350667751~15.708µs~
2025/04/05 20:49:54 2025-04-05 20:49:54.547026 +0700 WIB m=+15637.343561376~::1~POST~/api/v1/TransaksiJual~ "Header=>Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Signature:db787fbbed7854b3442f3dbd43832dca | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Content-Length:194 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/"~{"UserName":"admin_gudang","ParamKey":"MTc0Mzg2MDkzMzY1NjIyNg==Evz3qY33Bn9ZjPC67qiqGdNQwp5Cvd","Method":"SELECT","TransaksiId":"","Page":1,"RowPage":20,"OrderBy":"dbmp.tgl_input","Order":"DESC"}~200~2025-04-05 20:49:54.556416 +0700 WIB m=+15637.352951293~14.125µs~
2025/04/05 20:50:14 2025-04-05 20:50:14.275779 +0700 WIB m=+15657.072314876~::1~POST~/api/v1/Menu~ "Header=>Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Content-Length:159 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Signature:4505ead9ba7bb1a9d10b3c8a23bb40b3 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept:*/* | Sec-Gpc:1 | Sec-Ch-Ua-Platform:"macOS" | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Referer:http://localhost:3000/"~{"Username":"admin_gudang","ParamKey":"MTc0Mzg2MDkzMzY1NjIyNg==Evz3qY33Bn9ZjPC67qiqGdNQwp5Cvd","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 20:50:14.298474 +0700 WIB m=+15657.095009793~15.917µs~
