2025/05/04 20:17:20 2025-05-04 20:17:20.337828 +0700 WIB m=+89892.672528876~::1~POST~/api/v1/ListRole~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Connection:keep-alive | Signature:e53bbc8d57f93de2a71429ffd21324dc | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept-Language:en-US,en;q=0.9 | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:162 | Accept:*/* | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty"~{"UserName":"admin_super","ParamKey":"MTc0NjM2NDYzOTIzODEzNg==3h5vypdQ6XRyys2IJ13SaoPYLB4a9y","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":"DESC"}~200~2025-05-04 20:17:20.347256 +0700 WIB m=+89892.681956376~14.583µs~
2025/05/04 20:17:20 2025-05-04 20:17:20.337401 +0700 WIB m=+89892.672101459~::1~POST~/api/v1/Menu~ "Header=>Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept:*/* | Content-Length:158 | Signature:a8ab3e8f90a1462e5efb1213b104d722 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty"~{"Username":"admin_super","ParamKey":"MTc0NjM2NDYzOTIzODEzNg==3h5vypdQ6XRyys2IJ13SaoPYLB4a9y","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-05-04 20:17:20.350544 +0700 WIB m=+89892.685244418~21.375µs~
2025/05/04 20:17:20 2025-05-04 20:17:20.338972 +0700 WIB m=+89892.673673084~::1~POST~/api/v1/User~ "Header=>Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Content-Type:application/json | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Connection:keep-alive | Content-Length:213 | Signature:ac2d60a516cf067b9a749f357796a6db | Sec-Ch-Ua-Mobile:?0 | Referer:http://localhost:3000/ | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133""~{"UserName":"admin_super","ParamKey":"MTc0NjM2NDYzOTIzODEzNg==3h5vypdQ6XRyys2IJ13SaoPYLB4a9y","Method":"SELECT","Id":"","UsernameLogin":"","RoleId":"","Status":"","Page":1,"RowPage":20,"OrderBy":"","Order":"DESC"}~200~2025-05-04 20:17:20.351782 +0700 WIB m=+89892.686482626~12.833µs~
2025/05/04 20:17:21 2025-05-04 20:17:21.293896 +0700 WIB m=+89893.628596626~::1~POST~/api/v1/ListRole~ "Header=>Connection:keep-alive | Accept:*/* | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Content-Type:application/json | Sec-Gpc:1 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Content-Length:162 | Signature:e53bbc8d57f93de2a71429ffd21324dc | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9"~{"UserName":"admin_super","ParamKey":"MTc0NjM2NDYzOTIzODEzNg==3h5vypdQ6XRyys2IJ13SaoPYLB4a9y","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":"DESC"}~200~2025-05-04 20:17:21.310283 +0700 WIB m=+89893.644984251~14.292µs~
2025/05/04 20:17:21 2025-05-04 20:17:21.293762 +0700 WIB m=+89893.628463168~::1~POST~/api/v1/Menu~ "Header=>Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9 | Content-Type:application/json | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:158 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Gpc:1 | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Connection:keep-alive | Signature:a8ab3e8f90a1462e5efb1213b104d722"~{"Username":"admin_super","ParamKey":"MTc0NjM2NDYzOTIzODEzNg==3h5vypdQ6XRyys2IJ13SaoPYLB4a9y","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-05-04 20:17:21.314891 +0700 WIB m=+89893.649592209~10.833µs~
2025/05/04 20:17:21 2025-05-04 20:17:21.294759 +0700 WIB m=+89893.629459876~::1~POST~/api/v1/User~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9 | Content-Length:213 | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Signature:ac2d60a516cf067b9a749f357796a6db | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json"~{"UserName":"admin_super","ParamKey":"MTc0NjM2NDYzOTIzODEzNg==3h5vypdQ6XRyys2IJ13SaoPYLB4a9y","Method":"SELECT","Id":"","UsernameLogin":"","RoleId":"","Status":"","Page":1,"RowPage":20,"OrderBy":"","Order":"DESC"}~200~2025-05-04 20:17:21.314842 +0700 WIB m=+89893.649542626~14.125µs~
2025/05/04 20:17:22 2025-05-04 20:17:22.481165 +0700 WIB m=+89894.815865626~::1~POST~/api/v1/ListRole~ "Header=>Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Content-Type:application/json | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept:*/* | Sec-Fetch-Dest:empty | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Content-Length:162 | Sec-Ch-Ua-Platform:"macOS" | Signature:e53bbc8d57f93de2a71429ffd21324dc | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1"~{"UserName":"admin_super","ParamKey":"MTc0NjM2NDYzOTIzODEzNg==3h5vypdQ6XRyys2IJ13SaoPYLB4a9y","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":"DESC"}~200~2025-05-04 20:17:22.489441 +0700 WIB m=+89894.824141918~18.209µs~
2025/05/04 20:17:22 2025-05-04 20:17:22.48117 +0700 WIB m=+89894.815870418~::1~POST~/api/v1/User~ "Header=>Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Mode:cors | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Length:213 | Content-Type:application/json | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Signature:ac2d60a516cf067b9a749f357796a6db"~{"UserName":"admin_super","ParamKey":"MTc0NjM2NDYzOTIzODEzNg==3h5vypdQ6XRyys2IJ13SaoPYLB4a9y","Method":"SELECT","Id":"","UsernameLogin":"","RoleId":"","Status":"","Page":1,"RowPage":20,"OrderBy":"","Order":"DESC"}~200~2025-05-04 20:17:22.491252 +0700 WIB m=+89894.825952376~14µs~
2025/05/04 20:17:22 2025-05-04 20:17:22.480549 +0700 WIB m=+89894.815250084~::1~POST~/api/v1/Menu~ "Header=>Content-Type:application/json | Sec-Fetch-Mode:cors | Connection:keep-alive | Signature:a8ab3e8f90a1462e5efb1213b104d722 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:158 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | Accept:*/*"~{"Username":"admin_super","ParamKey":"MTc0NjM2NDYzOTIzODEzNg==3h5vypdQ6XRyys2IJ13SaoPYLB4a9y","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-05-04 20:17:22.491277 +0700 WIB m=+89894.825978084~11.166µs~
2025/05/04 20:17:31 2025-05-04 20:17:31.04254 +0700 WIB m=+89903.377241334~::1~POST~/api/v1/User~ "Header=>Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Signature:3d0aa53a547b76d287ef26a68b013445 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Accept:*/* | Origin:http://localhost:3000 | Content-Length:121 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors"~{"Username":"admin_super","ParamKey":"MTc0NjM2NDYzOTIzODEzNg==3h5vypdQ6XRyys2IJ13SaoPYLB4a9y","Method":"DELETE","Id":"8"}~200~2025-05-04 20:17:31.059704 +0700 WIB m=+89903.394404834~26.666µs~
2025/05/04 20:17:31 2025-05-04 20:17:31.090684 +0700 WIB m=+89903.425385043~::1~POST~/api/v1/User~ "Header=>Content-Length:213 | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Signature:ac2d60a516cf067b9a749f357796a6db | Accept:*/* | Sec-Gpc:1 | Origin:http://localhost:3000 | Connection:keep-alive | Accept-Language:en-US,en;q=0.9 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Fetch-Dest:empty"~{"UserName":"admin_super","ParamKey":"MTc0NjM2NDYzOTIzODEzNg==3h5vypdQ6XRyys2IJ13SaoPYLB4a9y","Method":"SELECT","Id":"","UsernameLogin":"","RoleId":"","Status":"","Page":1,"RowPage":20,"OrderBy":"","Order":"DESC"}~200~2025-05-04 20:17:31.101004 +0700 WIB m=+89903.435704626~15.5µs~
